iter	RMSE
0	1276.091738
1	1220.868992
2	1169.867218
3	1122.810619
4	1078.173152
5	1035.612813
6	997.5895802
7	962.1871779
8	930.6084862
9	900.160189
10	871.2036884
11	845.2595893
12	822.1762155
13	799.267515
14	779.0241121
15	759.7742797
16	741.6975928
17	725.6093428
18	711.6229447
19	697.3782622
20	684.7647614
21	673.667624
22	663.6784523
23	654.2680589
24	646.0309906
25	638.0431086
26	630.9051918
27	624.829294
28	618.6888383
29	613.141639
30	608.1674554
31	603.9334075
32	600.1119738
33	596.713301
34	593.2910214
35	590.3616626
36	587.5204146
37	584.8643683
38	582.1601086
39	580.1135571
40	578.1551499
41	576.4096965
42	574.8492604
43	573.3166911
44	571.9618651
45	570.6994511
46	569.4744159
47	568.4056271
48	567.2720505
49	566.3246789
50	565.3943463
51	564.5428783
52	563.7711158
53	563.0553336
54	562.3227732
55	561.6790635
56	561.1069696
57	560.6228179
58	560.0882246
59	559.6505655
60	559.1370418
61	558.6147204
62	558.1550531
63	557.6496165
64	557.2730483
65	556.882994
66	556.5898949
67	556.2889117
68	555.8795662
69	555.4563453
70	555.3064011
71	554.9686052
72	554.6893868
73	554.403625
74	554.1901029
75	553.9585783
76	553.7019738
77	553.5399561
78	553.382985
79	553.2101584
80	553.039771
81	552.8952275
82	552.4987578
83	552.2287946
84	551.8732518
85	551.6227435
86	551.4853484
87	551.2490987
88	551.166376
89	551.0301848
90	550.754677
91	550.375951
92	550.1148443
93	549.8818509
94	549.8100694
95	549.6440817
96	549.4276908
97	549.2671065
98	549.0393415
99	548.8669764
100	548.6580417
101	548.5148116
102	548.4420522
103	548.3898929
104	548.1167868
105	547.9571728
106	547.8597358
107	547.734208
108	547.6742289
109	547.5270938
110	547.3724889
111	547.2222395
112	547.0494701
113	546.8825343
114	546.5326421
115	546.4178727
116	546.377482
117	546.3150904
118	546.0938503
119	546.0402881
120	545.9008504
121	545.7280669
122	545.6475655
123	545.527075
124	545.4951956
125	545.3459558
126	545.153998
127	545.0176311
128	544.8345682
129	544.7153411
130	544.6445559
131	544.602724
132	544.5254631
133	544.4702587
134	544.301923
135	544.1771442
136	544.0800316
137	543.9577965
138	543.8135424
139	543.7381858
140	543.489109
141	543.3827547
142	543.2121765
143	543.0626276
144	542.8429695
145	542.8212042
146	542.7828275
147	542.7702008
148	542.4914425
149	542.3430208
150	542.1802547
151	542.0525934
152	542.0340322
153	541.8282639
154	541.8127365
155	541.6933457
156	541.5199839
157	541.3453172
158	541.1798032
159	540.8612417
160	540.6731485
161	540.5831474
162	540.4647155
163	540.4479892
164	540.3394517
165	540.1147256
166	539.9634881
167	539.696231
168	539.59169
169	539.5587808
170	539.4055108
171	539.3149983
172	539.1973766
173	538.9505615
174	538.797796
175	538.4826419
176	538.4634427
177	538.2536027
178	538.191446
179	538.1183141
180	537.8880484
181	537.6919882
182	537.5982407
183	537.4136628
184	537.3996848
185	537.3862161
186	537.2782431
187	537.1672543
188	537.0377972
189	536.9953814
190	536.7977298
191	536.7833147
192	536.5599618
193	536.5450339
194	536.3628784
195	536.2809672
196	536.1014504
197	536.03158
198	536.0195204
199	535.9834466
200	535.8011763
201	535.6719958
202	535.6560399
203	535.4778186
204	535.4574194
205	535.2065425
206	535.1692346
207	534.833137
208	534.7847991
209	534.6033942
210	534.4327418
211	534.4218625
212	534.4039292
213	534.2245744
214	534.0191044
215	533.8133698
216	533.5766634
217	533.4109632
218	533.2729906
219	533.0244935
220	532.8343228
221	532.5360522
222	532.4112622
223	532.3204793
224	532.2252535
225	532.1150505
226	531.8315729
227	531.6790688
228	531.4827514
229	531.4168737
230	531.2467063
231	531.2027618
232	531.1060932
233	531.0651061
234	530.9487712
235	530.7852232
236	530.7765554
237	530.7191074
238	530.4943405
239	530.3686402
240	530.2268175
241	530.0909959
242	529.9270217
243	529.7602262
244	529.4909275
245	529.4023387
246	529.1575216
247	529.0055455
248	528.9153775
249	528.896842
250	528.7646418
251	528.6868725
252	528.5515307
253	528.5144009
254	528.3690721
255	528.2533664
256	528.2330028
257	528.2263762
258	527.9488992
259	527.8087495
260	527.5757933
261	527.3921424
262	527.2318008
263	527.0015407
264	526.9081385
265	526.6490805
266	526.4915644
267	526.3770536
268	526.2534268
269	526.0209572
270	525.8176914
271	525.6824138
272	525.6122769
273	525.4070923
274	525.4014881
275	525.2720899
276	525.1386583
277	525.1111636
278	524.9680852
279	524.7844305
280	524.5860114
281	524.4839876
282	524.2507496
283	524.2451894
284	524.0411153
285	523.9671964
286	523.8417866
287	523.7729792
288	523.6420051
289	523.4520817
290	523.3863447
291	523.215112
292	523.1345701
293	523.0236241
294	522.9283863
295	522.7209698
296	522.6545431
297	522.6151122
298	522.518719
299	522.4695452
300	522.3007792
301	522.125534
302	521.9322209
303	521.7944418
304	521.7132384
305	521.5022272
306	521.4572312
307	521.3601942
308	521.0735193
309	520.977735
310	520.8297019
311	520.7254535
312	520.6538566
313	520.3868777
314	520.203902
315	520.0413999
316	519.8898801
317	519.7350416
318	519.5950426
319	519.4769928
320	519.310688
321	519.2060992
322	519.0462542
323	518.9351429
324	518.7731863
325	518.6621895
326	518.4929551
327	518.2724883
328	518.1909695
329	518.018742
330	517.9411822
331	517.8203689
332	517.6862557
333	517.5505863
334	517.4694032
335	517.3394934
336	517.2555582
337	517.0836008
338	516.96242
339	516.7954102
340	516.5313793
341	516.3872895
342	516.2982919
343	516.0672362
344	515.8573996
345	515.7633692
346	515.5068502
347	515.3488763
348	515.1882483
349	515.0304544
350	514.8671994
351	514.706606
352	514.6065614
353	514.5122323
354	514.4525342
355	514.3730056
356	514.2888038
357	514.2433187
358	514.1683776
359	514.0677109
360	513.9073495
361	513.8033821
362	513.7064279
363	513.6074762
364	513.4983558
365	513.3835892
366	513.2514821
367	513.1667921
368	513.0482166
369	512.9731909
370	512.8845173
371	512.7956969
372	512.7277367
373	512.6365433
374	512.5128224
375	512.3806269
376	512.2907266
377	512.2338355
378	512.1312326
379	512.0049279
380	511.8400777
381	511.6259972
382	511.5124857
383	511.3354551
384	511.3329348
385	511.1106219
386	511.0001787
387	510.8611021
388	510.8056491
389	510.6448234
390	510.5931201
391	510.4633526
392	510.4478448
393	510.3768169
394	510.2810588
395	510.169541
396	510.0015496
397	509.8478738
398	509.7663165
399	509.7529963
400	509.5916454
401	509.4753078
402	509.3562654
403	509.1780654
404	509.0311073
405	509.0168876
406	508.8145168
407	508.7624974
408	508.5659531
409	508.4589984
410	508.2839088
411	508.169182
412	508.1237041
413	507.9869254
414	507.8824999
415	507.7165242
416	507.7023404
417	507.5964534
418	507.5072947
419	507.4048294
420	507.2993268
421	507.1762117
422	507.0655616
423	506.9186474
424	506.8431258
425	506.7052633
426	506.6210571
427	506.4079908
428	506.2429442
429	506.1380591
430	505.9848838
431	505.8928281
432	505.7700194
433	505.7562997
434	505.6221081
435	505.6194203
436	505.4583845
437	505.4564267
438	505.316821
439	505.1678924
440	505.0219269
441	504.8104105
442	504.5919397
443	504.4849603
444	504.4205564
445	504.3241849
446	504.1976494
447	504.1104272
448	503.9535329
449	503.9068898
450	503.7037327
451	503.6137077
452	503.5139708
453	503.4188577
454	503.2945108
455	503.1888487
456	503.0715406
457	502.9306018
458	502.8580218
459	502.7756638
460	502.6415478
461	502.4586772
462	502.328808
463	502.1588538
464	502.0669491
465	502.0084255
466	501.888897
467	501.8870882
468	501.7544276
469	501.6916017
470	501.4354385
471	501.3283139
472	501.2122686
473	501.0243051
474	500.971418
475	500.8179303
476	500.6855656
477	500.6263533
478	500.4185096
479	500.3384349
480	500.2021541
481	500.0671682
482	499.9478669
483	499.8598052
484	499.8423861
485	499.5992861
486	499.5606157
487	499.4174119
488	499.4158418
489	499.4012599
490	499.3302684
491	499.1678925
492	499.0332051
493	498.888115
494	498.7630809
495	498.7000338
496	498.6164455
497	498.4261724
498	498.2240185
499	498.0699714
500	497.9660472
501	497.8836271
502	497.7731013
503	497.621818
504	497.4740115
505	497.3836186
506	497.3520957
507	497.1333551
508	497.0246208
509	496.9542903
510	496.870633
511	496.6498039
512	496.6408872
513	496.4127592
514	496.2723284
515	496.1491106
516	496.024003
517	495.8370916
518	495.7990163
519	495.6901902
520	495.5791215
521	495.4598547
522	495.3936582
523	495.3363397
524	495.188147
525	495.0643925
526	494.9354527
527	494.8423385
528	494.7361806
529	494.6898961
530	494.6127372
531	494.4919691
532	494.3231457
533	494.2744012
534	494.2370487
535	494.1261343
536	494.0146976
537	493.8294964
538	493.7066055
539	493.6385014
540	493.6046059
541	493.5654238
542	493.5180758
543	493.3025598
544	493.235556
545	493.2248598
546	493.1725292
547	493.1444793
548	492.9576402
549	492.7978719
550	492.6936809
551	492.6192147
552	492.3841439
553	492.2728186
554	492.1443482
555	492.0070595
556	491.851858
557	491.7232022
558	491.5697655
559	491.4411621
560	491.356138
561	491.2862331
562	491.175275
563	491.0962875
564	491.0580213
565	490.9667188
566	490.8456706
567	490.6499782
568	490.4998958
569	490.400669
570	490.2620644
571	490.19982
572	490.1734087
573	490.0827301
574	490.015019
575	489.9095409
576	489.7501082
577	489.7014524
578	489.6436923
579	489.5164177
580	489.5140971
581	489.4366095
582	489.3366306
583	489.1996392
584	489.1652311
585	489.1310127
586	488.9952382
587	488.9365997
588	488.8035623
589	488.7062744
590	488.5531079
591	488.4810816
592	488.291213
593	488.1432235
594	488.0370494
595	487.898408
596	487.7861922
597	487.6803857
598	487.6281197
599	487.5262321
600	487.4535992
601	487.3016681
602	487.1918755
603	487.1616374
604	487.0583194
605	486.9097932
606	486.8984912
607	486.797002
608	486.7862786
609	486.7417214
610	486.5793123
611	486.4714407
612	486.3745341
613	486.3715104
614	486.3012405
615	486.1399674
616	486.0035241
617	485.876253
618	485.785367
619	485.7350716
620	485.6902576
621	485.5174299
622	485.4091686
623	485.2624759
624	485.2174158
625	485.1190259
626	484.9841065
627	484.9446107
628	484.8378504
629	484.7206988
630	484.5543745
631	484.4553092
632	484.3184794
633	484.237193
634	484.0631567
635	483.9830327
636	483.8851198
637	483.7678045
638	483.6488865
639	483.5814517
640	483.4458541
641	483.3279086
642	483.2492299
643	483.2123898
644	483.0648815
645	482.9522319
646	482.918447
647	482.838157
648	482.836684
649	482.7395209
650	482.5349689
651	482.4193841
652	482.3359606
653	482.2891467
654	482.18052
655	482.0294859
656	481.9380839
657	481.787857
658	481.6860363
659	481.5877726
660	481.4302425
661	481.428645
662	481.3544602
663	481.3047674
664	481.2070013
665	481.0741381
666	480.9903861
667	480.8892817
668	480.7722207
669	480.6872172
670	480.6343981
671	480.5166001
672	480.2598307
673	480.2252258
674	480.125647
675	480.0316929
676	479.9107561
677	479.7858375
678	479.6515998
679	479.5629561
680	479.4669163
681	479.3761359
682	479.3038069
683	479.1711578
684	479.0553715
685	479.0540358
686	478.9691186
687	478.9091943
688	478.8393365
689	478.7053622
690	478.6605789
691	478.632981
692	478.5597789
693	478.4123939
694	478.2780804
695	478.1553212
696	478.0518136
697	477.9689689
698	477.7898987
699	477.6956522
700	477.6232624
701	477.5061007
702	477.3907449
703	477.2466777
704	477.15937
705	477.1315833
706	477.0877909
707	477.0269406
708	476.957899
709	476.8478257
710	476.6571935
711	476.5827674
712	476.4730759
713	476.4345825
714	476.2473136
715	476.1846058
716	476.01224
717	475.9890829
718	475.8878594
719	475.79959
720	475.6670138
721	475.6233368
722	475.4883296
723	475.4123907
724	475.3346496
725	475.2129739
726	475.0794535
727	474.9827256
728	474.8518206
729	474.7807649
730	474.7446123
731	474.6872489
732	474.5955091
733	474.5139114
734	474.4337531
735	474.3246751
736	474.2275722
737	474.0900394
738	473.9940072
739	473.8863439
740	473.7851063
741	473.7485857
742	473.6497634
743	473.5629049
744	473.5357789
745	473.5344408
746	473.4273106
747	473.306646
748	473.2355059
749	473.1276849
750	473.0594175
751	472.9704375
752	472.8758577
753	472.8024812
754	472.7128169
755	472.6479039
756	472.5365602
757	472.5356273
758	472.3736577
759	472.3724111
760	472.23074
761	472.18665
762	472.0548615
763	471.9574514
764	471.8473106
765	471.7528905
766	471.65373
767	471.573598
768	471.4846638
769	471.3894259
770	471.1838871
771	471.0608394
772	470.981126
773	470.9799571
774	470.8946127
775	470.7704046
776	470.6590177
777	470.5660938
778	470.4745483
779	470.3520742
780	470.2004366
781	470.1997474
782	470.1190354
783	469.9874952
784	469.86444
785	469.8634063
786	469.7962493
787	469.7242056
788	469.6087801
789	469.6076715
790	469.4889517
791	469.4094249
792	469.3224018
793	469.2316939
794	469.1132122
795	468.9788836
796	468.8866953
797	468.8389873
798	468.8115502
799	468.7155449
800	468.6301239
801	468.5336435
802	468.4658369
803	468.3898607
804	468.3886754
805	468.3047407
806	468.2312102
807	468.1303634
808	468.1027364
809	467.9984804
810	467.9452257
811	467.9142919
812	467.7892554
813	467.7397188
814	467.6039827
815	467.5589373
816	467.4339304
817	467.3626864
818	467.3045538
819	467.2176535
820	467.1529461
821	467.0632271
822	466.9905487
823	466.9041395
824	466.828769
825	466.7842309
826	466.7216451
827	466.6550937
828	466.6543214
829	466.6534235
830	466.5258071
831	466.4297201
832	466.3461341
833	466.1691953
834	466.0564109
835	466.0556547
836	465.9505494
837	465.9269825
838	465.8420658
839	465.7395841
840	465.68486
841	465.5497174
842	465.4388731
843	465.3573324
844	465.2658351
845	465.2102671
846	465.1223751
847	465.0815363
848	464.9648915
849	464.8333423
850	464.832271
851	464.7723059
852	464.7281238
853	464.6270773
854	464.5373058
855	464.4595676
856	464.4390562
857	464.354418
858	464.2762495
859	464.1875798
860	464.0872805
861	464.0218527
862	463.9670337
863	463.8904353
864	463.8894663
865	463.8258721
866	463.8248752
867	463.7636404
868	463.7629595
869	463.6448472
870	463.6055937
871	463.5423768
872	463.5415773
873	463.4647036
874	463.3730429
875	463.3002443
876	463.2073011
877	463.1091852
878	463.0088579
879	462.9543023
880	462.8480464
881	462.847516
882	462.7917288
883	462.7526993
884	462.6535045
885	462.453955
886	462.3762307
887	462.2773011
888	462.2006265
889	462.1255518
890	462.0832616
891	462.0119058
892	461.9470451
893	461.8495434
894	461.781753
895	461.6781828
896	461.5957681
897	461.5146862
898	461.431114
899	461.3212711
900	461.2300212
901	461.1925802
902	461.1919293
903	461.1456089
904	461.0513041
905	460.9622367
906	460.9617143
907	460.881196
908	460.7875329
909	460.7139825
910	460.6371702
911	460.5215483
912	460.4697709
913	460.3802621
914	460.3113892
915	460.3107795
916	460.3101661
917	460.2053168
918	460.1300483
919	460.0608501
920	459.9766325
921	459.8341878
922	459.7912945
923	459.7133275
924	459.6225379
925	459.5186241
926	459.4043142
927	459.3021537
928	459.2427385
929	459.2420445
930	459.1710051
931	459.0708141
932	459.0344406
933	459.0338709
934	458.9124886
935	458.8343036
936	458.7464425
937	458.7128145
938	458.582595
939	458.5495083
940	458.4857258
941	458.4504693
942	458.3914449
943	458.2673947
944	458.2342709
945	458.1763872
946	458.0677881
947	457.9934735
948	457.9259418
949	457.8602711
950	457.8040207
951	457.7037644
952	457.5974633
953	457.4845399
954	457.4297988
955	457.3638698
956	457.3137126
957	457.2672835
958	457.2394702
959	457.1755216
960	457.1065393
961	457.0233792
962	456.9687555
963	456.9006607
964	456.840738
965	456.7592511
966	456.7587054
967	456.7242743
968	456.6338667
969	456.5592177
970	456.4562175
971	456.3955201
972	456.3418837
973	456.2535997
974	456.182104
975	456.0331402
976	455.9525171
977	455.8458356
978	455.7855406
979	455.6966115
980	455.6960889
981	455.5774904
982	455.4694424
983	455.4689381
984	455.3856187
985	455.2974374
986	455.2018748
987	455.1717248
988	455.0512827
989	454.9338872
990	454.8906773
991	454.8322925
992	454.8316687
993	454.7643136
994	454.6650624
995	454.5119654
996	454.4345645
997	454.3699619
998	454.2222274
999	454.1493792
