iter	Passed	Remaining
0	2	2345
1	4	2225
2	6	2172
3	8	2125
4	10	2119
5	12	2108
6	14	2106
7	16	2100
8	18	2082
9	21	2083
10	23	2068
11	25	2058
12	27	2057
13	29	2054
14	31	2041
15	33	2040
16	35	2034
17	37	2032
18	41	2141
19	43	2151
20	46	2150
21	48	2143
22	50	2138
23	52	2126
24	54	2119
25	56	2121
26	58	2115
27	60	2110
28	62	2101
29	64	2094
30	66	2084
31	68	2081
32	70	2074
33	72	2073
34	75	2083
35	77	2088
36	81	2110
37	83	2106
38	85	2101
39	87	2096
40	89	2092
41	91	2083
42	93	2074
43	94	2063
44	96	2052
45	98	2041
46	100	2033
47	101	2022
48	103	2011
49	105	2001
50	106	1990
51	108	1980
52	110	1971
53	112	1963
54	113	1955
55	115	1948
56	117	1941
57	118	1931
58	120	1924
59	122	1916
60	123	1908
61	125	1901
62	127	1896
63	129	1890
64	131	1885
65	132	1879
66	134	1873
67	136	1867
68	137	1861
69	139	1856
70	140	1842
71	142	1838
72	144	1833
73	146	1828
74	147	1823
75	149	1818
76	151	1812
77	152	1807
78	154	1801
79	156	1795
80	157	1790
81	159	1785
82	161	1782
83	162	1776
84	164	1773
85	166	1769
86	168	1764
87	169	1760
88	171	1756
89	173	1752
90	174	1747
91	176	1745
92	178	1741
93	180	1737
94	181	1733
95	183	1729
96	185	1725
97	186	1721
98	188	1717
99	191	1720
100	193	1726
101	195	1724
102	197	1723
103	199	1721
104	201	1719
105	203	1718
106	205	1717
107	207	1716
108	209	1716
109	212	1716
110	214	1717
111	216	1717
112	218	1716
113	220	1715
114	222	1715
115	224	1714
116	226	1711
117	228	1708
118	230	1706
119	232	1704
120	234	1702
121	236	1703
122	238	1700
123	240	1697
124	242	1694
125	243	1690
126	245	1687
127	247	1685
128	249	1683
129	251	1681
130	253	1680
131	255	1677
132	257	1675
133	258	1672
134	260	1669
135	262	1667
136	264	1664
137	265	1661
138	267	1658
139	269	1655
140	271	1652
141	273	1649
142	274	1646
143	276	1643
144	278	1640
145	279	1637
146	281	1633
147	283	1630
148	285	1628
149	286	1624
150	288	1621
151	290	1618
