iter	RMSE
0	0.4758694559
1	0.4743114993
2	0.4729563388
3	0.4718110335
4	0.4710016844
5	0.4695320595
6	0.4681776449
7	0.4667152019
8	0.4654258851
9	0.4645925818
10	0.4633739846
11	0.4623516493
12	0.4616147055
13	0.4609295637
14	0.4595551582
15	0.4585758034
16	0.4580471572
17	0.4571616163
18	0.456132315
19	0.4551932733
20	0.4547915726
21	0.454160405
22	0.4532452884
23	0.4526438057
24	0.451843028
25	0.4510792028
26	0.4503573455
27	0.4497413717
28	0.4492054626
29	0.4488527969
30	0.4483958649
31	0.4479131175
32	0.4475065331
33	0.4468026805
34	0.4464756935
35	0.4455954879
36	0.4454932618
37	0.4449069238
38	0.4444435105
39	0.4438138475
40	0.4432449345
41	0.4427756352
42	0.4423293937
43	0.4415450495
44	0.4408788441
45	0.4407220319
46	0.4404410339
47	0.4403751421
48	0.4399717159
49	0.4396497952
50	0.4393804923
51	0.4390669731
52	0.438787973
53	0.4382759336
54	0.4379707056
55	0.4375819792
56	0.4372637017
57	0.4369725194
58	0.4365555188
59	0.4364145339
60	0.4360809159
61	0.4360221548
62	0.4358316667
63	0.4356722482
64	0.4354378749
65	0.4351580977
66	0.4350530836
67	0.4349487232
68	0.4348596427
69	0.4348096515
70	0.4344278348
71	0.4340880333
72	0.4340078764
73	0.4339079813
74	0.4336896439
75	0.4336270579
76	0.433380378
77	0.4332119713
78	0.432767616
79	0.4326425892
80	0.4323059723
81	0.4321291732
82	0.4320062064
83	0.4318296988
84	0.4317512224
85	0.4316851359
86	0.4312220617
87	0.4309821068
88	0.4307304888
89	0.4305532433
90	0.4303451442
91	0.4302237622
92	0.4299615299
93	0.4296932901
94	0.429619243
95	0.4294981996
96	0.4294029744
97	0.4289138361
98	0.428581667
99	0.4285070025
100	0.4282291625
101	0.4280463655
102	0.4278301533
103	0.4275171339
104	0.4274095234
105	0.427193324
106	0.4269183496
107	0.4266954438
108	0.4266671028
109	0.4265193895
110	0.4264094775
111	0.4263186806
112	0.4262629047
113	0.4260810557
114	0.4258766775
115	0.4257192298
116	0.4256100687
117	0.4253899375
118	0.4251338443
119	0.4250792458
120	0.424844492
121	0.4247648933
122	0.4247066529
123	0.4246099811
124	0.4243894343
125	0.4240895748
126	0.4239709353
127	0.4236702759
128	0.4235393188
129	0.4233692275
130	0.4231211904
131	0.4230738179
132	0.4229390869
133	0.4225880683
134	0.4223935998
135	0.4222261344
136	0.4221860501
137	0.4221114044
138	0.4220116914
139	0.4219739984
140	0.4217708073
141	0.4216324673
142	0.4214909332
143	0.4212932167
144	0.4211489508
145	0.4210404697
146	0.4208958971
147	0.420815352
148	0.4207515711
149	0.4206970687
150	0.4205580537
151	0.4203918107
152	0.420362853
153	0.4202814098
154	0.4201311614
155	0.4199986548
156	0.4199405053
157	0.4198329
158	0.4197692773
159	0.4196895774
160	0.419566742
161	0.4194771802
162	0.4192922691
163	0.4191698911
164	0.4188684914
165	0.4186249486
166	0.4185257585
167	0.4184678016
168	0.4183674253
169	0.4182848623
170	0.4181988785
171	0.4181263956
172	0.4180067518
173	0.4179414077
174	0.4178466794
175	0.4176902123
176	0.4175932033
177	0.4175163386
178	0.4174477313
179	0.4173705771
180	0.4172973513
181	0.4172417893
182	0.4171804016
183	0.4170408694
184	0.4169506502
185	0.4168210414
186	0.4167148392
187	0.4163580361
188	0.416263121
189	0.4161978572
190	0.4160262296
191	0.4159646798
192	0.4157723166
193	0.4156542703
194	0.4154136238
195	0.4153353771
196	0.4152638293
197	0.4150404132
198	0.4149555651
199	0.4147056006
200	0.4145911856
201	0.4145104351
202	0.4143707662
203	0.4142800274
204	0.4139522486
205	0.4136656774
206	0.4135592628
207	0.4134504548
208	0.4133695615
209	0.413293532
210	0.4131342502
211	0.4129932607
212	0.4129150408
213	0.4127426264
214	0.4126597458
215	0.4125907779
216	0.4124792206
217	0.4123371284
218	0.4122552023
219	0.4121813035
220	0.41210676
221	0.4117820591
222	0.4117105508
223	0.4114417777
224	0.4113127066
225	0.4111969352
226	0.4109359129
227	0.4108380254
228	0.4107698328
229	0.4107009855
230	0.4106335578
231	0.4105658631
232	0.4104939189
233	0.4103652182
234	0.4102181503
235	0.4101105932
236	0.4098342933
237	0.409749871
238	0.4096800711
239	0.4096130155
240	0.4095492009
241	0.4093696944
242	0.4093069878
243	0.4092147788
244	0.4091037703
245	0.4090403775
246	0.4087926973
247	0.4086635258
248	0.4085589254
249	0.4084940597
250	0.4084304034
251	0.4083692711
252	0.4082928413
253	0.4082318399
254	0.4080204051
255	0.4079607107
256	0.4077661354
257	0.4077054771
258	0.4076222987
259	0.4075587214
260	0.4075014917
261	0.4072828263
262	0.4072268698
263	0.4071358141
264	0.407080155
265	0.4070207344
266	0.4068863813
267	0.4068293397
268	0.4066906688
269	0.4064798366
270	0.4061777705
271	0.4060988526
272	0.4060428493
273	0.4059881128
274	0.4057461704
275	0.4056935755
276	0.4056172386
277	0.4055298711
278	0.4054736734
279	0.4052139086
280	0.4051209709
281	0.4049498224
282	0.4048903871
283	0.404809169
284	0.4047089135
285	0.404653916
286	0.4045996607
287	0.4045431946
288	0.4044916649
289	0.4043597437
290	0.4040508304
291	0.4039820018
292	0.403930906
293	0.4038814652
294	0.4037119369
295	0.4036601053
296	0.4036108036
297	0.403540735
298	0.403415718
299	0.4032240298
300	0.4031705266
301	0.4030521345
302	0.4028499845
303	0.4028020182
304	0.402754622
305	0.4025394989
306	0.4024500146
307	0.4024010292
308	0.4022920866
309	0.4022381269
310	0.4021639289
311	0.4020890744
312	0.4019463368
313	0.4018443646
314	0.4017923582
315	0.4017396611
316	0.4016932712
317	0.4015482559
318	0.4014870084
319	0.4012568855
320	0.4012108591
321	0.4011640247
322	0.4010326837
323	0.4008866812
324	0.400709003
325	0.4006636241
326	0.4005721771
327	0.4005210534
328	0.4004442549
329	0.4003917322
330	0.400345112
331	0.4003003865
332	0.4000435348
333	0.3998743718
334	0.3998246882
335	0.3997718323
336	0.3997227827
337	0.3996565778
338	0.3996073155
339	0.3995332199
340	0.3994877634
341	0.3992953605
342	0.3992462921
343	0.3991942115
344	0.3991460256
345	0.3991033923
346	0.3990556106
347	0.3988932497
348	0.3986855023
349	0.3986376749
350	0.3985871071
351	0.3985158082
352	0.3984711192
353	0.3984274916
354	0.39834854
355	0.3983014139
