iter	Passed	Remaining
0	0	947
1	2	1131
2	3	1230
3	4	1231
4	6	1223
5	7	1232
6	8	1234
7	10	1244
8	11	1233
9	12	1234
10	13	1227
11	14	1215
12	15	1211
13	17	1199
14	18	1196
15	19	1187
16	20	1179
17	21	1173
18	22	1172
19	23	1167
20	24	1159
21	25	1154
22	27	1148
23	28	1143
24	29	1140
25	30	1137
26	31	1133
27	32	1129
28	33	1126
29	34	1121
30	35	1118
31	36	1114
32	37	1109
33	38	1106
34	40	1103
35	41	1101
36	42	1099
37	43	1097
38	44	1093
39	45	1091
40	46	1090
41	47	1087
42	48	1083
43	49	1081
44	50	1080
45	51	1077
46	53	1074
47	54	1075
48	55	1077
49	56	1078
50	57	1078
51	58	1075
52	60	1072
53	61	1070
54	62	1070
55	63	1069
56	64	1066
57	65	1058
58	66	1056
59	67	1055
60	68	1052
61	69	1050
62	70	1049
63	71	1047
64	72	1046
65	73	1045
66	74	1040
67	75	1038
68	76	1036
69	77	1029
70	78	1027
71	79	1027
72	80	1026
73	81	1023
74	82	1022
75	83	1020
76	85	1019
77	86	1017
78	87	1016
79	88	1014
80	89	1012
81	90	1010
82	91	1008
83	92	1007
84	93	1005
85	94	1001
86	95	1000
87	96	999
88	97	997
89	98	996
90	99	994
91	100	993
92	101	992
93	102	990
94	103	989
95	104	987
96	105	985
97	106	984
98	108	983
99	109	982
100	110	980
101	111	979
102	112	978
103	113	977
104	114	975
105	115	974
106	116	973
107	117	971
108	118	968
109	119	967
110	120	965
111	121	963
112	122	962
113	123	960
114	124	959
115	125	958
116	126	957
117	127	956
118	129	955
119	130	953
120	131	952
121	132	950
122	133	948
123	134	947
124	135	946
125	136	944
126	137	943
127	138	942
128	139	941
129	140	940
130	141	938
131	142	937
132	143	936
133	145	937
134	146	937
135	147	937
136	148	936
137	149	935
138	150	934
139	151	933
140	153	932
141	154	930
142	155	929
143	156	928
144	157	927
145	158	926
146	159	925
147	160	923
148	161	922
149	162	920
150	163	919
151	164	918
152	165	914
153	166	913
154	167	912
155	168	911
156	169	909
157	170	908
158	171	907
159	172	906
160	173	904
161	174	903
162	175	902
163	176	901
164	177	900
165	178	899
166	180	898
167	181	897
168	182	896
169	183	894
170	184	893
171	185	894
172	187	894
173	188	895
174	189	894
175	191	894
176	192	894
177	193	894
178	194	893
179	195	892
180	197	891
181	198	891
182	199	890
183	200	889
184	201	888
185	203	888
186	204	887
187	205	887
188	206	886
189	207	886
190	209	886
191	210	885
192	211	885
193	212	884
194	214	883
195	215	882
196	216	881
197	217	881
198	218	880
199	220	880
200	221	879
201	222	878
202	223	878
203	224	877
204	226	876
205	227	876
206	228	875
207	229	875
208	231	874
209	232	873
210	233	873
211	234	872
212	235	871
213	237	871
214	238	870
215	239	869
216	240	868
217	242	868
218	243	867
219	244	866
220	245	866
221	246	865
222	248	864
223	249	864
224	251	864
225	252	864
226	253	863
227	254	863
228	256	862
229	257	861
230	258	860
231	259	859
232	260	858
233	261	857
234	263	856
235	264	855
236	265	854
237	266	853
238	267	851
239	268	850
240	269	849
241	270	847
242	271	846
243	272	845
244	273	843
245	274	842
246	276	841
247	277	840
248	278	840
249	279	838
250	280	837
251	282	837
252	283	836
253	284	834
254	285	833
255	286	832
256	287	831
257	288	830
258	289	828
259	290	827
260	291	826
261	293	825
262	294	824
263	295	822
264	296	821
265	297	819
266	298	818
267	299	817
268	300	816
269	301	815
270	302	814
271	303	812
272	304	811
273	305	810
274	306	808
275	307	807
276	308	806
277	309	805
278	310	803
279	312	802
280	313	801
281	314	800
282	315	799
283	316	798
284	317	796
285	318	795
286	319	794
287	320	792
288	321	791
289	322	790
290	324	789
291	325	788
292	326	787
293	327	785
294	328	784
295	329	783
296	330	782
297	331	781
298	332	779
299	333	778
300	334	777
301	336	776
302	337	775
303	338	774
304	339	773
305	340	771
306	341	770
307	342	769
308	343	768
309	344	766
310	345	765
311	346	764
312	347	763
313	348	761
314	349	760
315	350	759
316	351	758
317	352	756
318	353	755
319	355	754
320	356	753
321	357	752
322	358	750
323	359	749
324	360	748
325	361	747
326	362	746
327	363	744
328	364	743
329	365	742
330	366	741
331	367	740
332	368	738
333	369	737
334	370	736
335	372	735
336	373	733
337	374	733
338	375	732
339	377	732
340	378	731
341	379	730
342	380	729
343	382	728
344	383	727
345	384	726
346	385	725
347	386	724
348	388	723
349	389	722
350	390	722
351	391	721
352	392	720
353	394	719
354	395	718
355	396	717
356	397	716
357	398	715
358	399	714
359	401	713
360	402	712
361	403	711
362	405	710
363	406	709
364	407	709
365	408	708
366	410	707
367	411	706
368	412	704
369	413	703
370	414	702
371	415	701
372	416	700
373	418	699
374	419	698
375	420	697
376	421	696
377	422	694
378	423	693
379	424	692
380	425	691
381	426	690
382	427	688
383	428	687
384	429	686
385	430	685
386	431	684
387	433	682
388	434	681
389	435	680
390	436	679
391	437	678
392	438	677
393	439	675
394	440	674
395	441	673
396	442	672
397	443	671
398	444	669
399	445	668
400	446	667
401	448	666
402	449	665
403	450	664
404	451	663
405	452	661
406	453	660
407	454	659
408	455	658
409	456	657
410	457	655
411	458	654
412	459	653
413	460	652
414	461	651
415	463	650
416	464	648
417	465	647
418	466	646
419	467	645
420	468	644
421	469	642
422	470	641
423	471	640
424	472	639
425	473	638
426	474	636
427	475	635
428	476	634
429	477	633
430	479	632
431	480	631
432	481	629
433	482	628
434	483	627
435	484	626
436	485	625
437	486	624
438	487	622
439	488	621
440	489	620
441	490	619
442	491	618
443	492	616
444	493	615
445	494	614
446	495	613
447	496	612
448	497	610
449	498	609
450	500	608
451	501	607
452	502	606
453	503	605
454	504	603
455	505	602
456	506	601
457	507	600
458	508	599
459	509	598
460	510	596
461	511	595
462	512	594
463	513	593
464	514	592
465	515	590
466	516	589
467	517	588
468	518	587
469	519	586
470	520	585
471	522	583
472	523	582
473	524	581
474	525	580
475	526	579
476	527	578
477	528	576
478	529	575
479	530	574
480	531	573
481	532	572
482	533	571
483	534	569
484	535	568
485	536	567
486	537	566
487	538	565
488	539	564
489	540	563
490	541	561
491	543	560
492	544	559
493	545	558
494	546	557
495	547	556
496	548	554
497	549	553
498	550	552
499	551	551
500	552	550
501	553	548
502	554	547
503	555	546
504	556	545
505	557	544
506	558	543
507	559	542
508	561	541
509	562	540
510	563	539
511	565	538
512	566	537
513	567	536
514	568	535
515	570	534
516	571	533
517	572	532
518	573	531
519	575	530
520	576	529
521	577	528
522	578	527
523	580	526
524	581	525
525	582	524
526	583	523
527	585	522
528	586	522
529	587	521
530	588	519
531	589	518
532	591	517
533	592	516
534	593	516
535	595	515
536	596	514
537	597	513
538	598	511
539	599	510
540	600	509
541	601	508
542	602	507
543	604	506
544	605	505
545	606	504
546	607	503
547	608	502
548	609	500
549	610	499
550	611	498
551	612	497
552	614	496
553	615	495
554	616	494
555	617	492
556	618	491
557	619	490
558	620	489
559	621	488
560	622	487
561	623	486
562	624	484
563	625	483
564	627	482
565	628	481
566	629	480
567	630	479
568	631	478
569	632	477
570	633	475
571	634	474
572	635	473
573	636	472
574	637	471
575	638	470
576	639	468
577	640	467
578	641	466
579	642	465
580	643	464
581	644	463
582	645	461
583	646	460
584	648	459
585	649	458
586	650	457
587	651	456
588	652	455
589	653	454
590	654	452
591	655	451
592	656	450
593	657	449
594	658	448
595	659	447
596	660	446
597	661	444
598	662	443
599	664	442
600	665	441
601	666	440
602	667	439
603	668	438
604	669	437
605	670	436
606	671	434
607	672	433
608	673	432
609	674	431
610	675	430
611	676	429
612	678	428
613	679	426
614	680	425
615	681	424
616	682	423
617	683	422
618	684	421
619	685	420
620	686	419
621	687	417
622	688	416
623	689	415
624	691	414
625	692	413
626	693	412
627	695	411
628	696	410
629	697	409
630	699	408
631	700	407
632	701	406
633	703	405
634	704	404
635	705	403
636	706	402
637	707	401
638	708	400
639	710	399
640	711	398
641	712	397
642	713	396
643	715	395
644	716	394
645	717	393
646	719	392
647	720	391
648	721	390
649	722	389
650	723	387
651	724	386
652	725	385
653	727	384
654	728	383
655	729	382
656	730	381
657	731	380
658	732	379
659	733	378
660	734	376
661	735	375
662	736	374
663	738	373
664	739	372
665	740	371
666	741	370
667	742	368
668	743	367
669	744	366
670	746	365
671	747	364
672	748	363
673	750	362
674	751	361
675	752	360
676	753	359
677	755	358
678	756	357
679	757	356
680	758	355
681	760	354
682	761	353
683	762	352
684	764	351
685	765	350
686	766	349
687	768	348
688	769	347
689	770	346
690	771	345
691	773	344
692	774	343
693	775	342
694	776	340
695	778	339
696	779	338
697	780	337
698	781	336
699	783	335
700	784	334
701	785	333
702	787	332
703	788	331
704	789	330
705	791	329
706	792	328
707	793	327
708	794	326
709	795	324
710	796	323
711	797	322
712	798	321
713	799	320
714	801	319
715	802	318
716	803	316
717	804	315
718	805	314
719	806	313
720	807	312
721	809	311
722	810	310
723	811	309
724	812	308
725	813	306
726	814	305
727	815	304
728	816	303
729	817	302
730	818	301
731	819	300
732	821	299
733	822	298
734	823	297
735	825	295
736	826	294
737	827	293
738	828	292
739	829	291
740	830	290
741	831	289
742	832	287
743	833	286
744	834	285
745	836	284
746	837	283
747	838	282
748	839	281
749	840	280
750	841	279
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	848	272
757	849	271
758	850	269
759	851	268
760	852	267
761	853	266
762	854	265
763	855	264
764	856	263
765	858	262
766	859	260
767	860	259
768	861	258
769	862	257
770	863	256
771	864	255
772	865	254
773	866	253
774	867	251
775	869	250
776	870	249
777	871	248
778	872	247
779	873	246
780	874	245
781	875	244
782	876	243
783	878	241
784	879	240
785	880	239
786	881	238
787	882	237
788	883	236
789	884	235
790	886	234
791	887	232
792	888	231
793	889	230
794	890	229
795	891	228
796	892	227
797	894	226
798	895	225
799	896	224
800	897	222
801	898	221
802	900	220
803	901	219
804	902	218
805	903	217
806	904	216
807	905	215
808	907	214
809	908	213
810	909	211
811	910	210
812	911	209
813	912	208
814	913	207
815	915	206
816	916	205
817	917	204
818	918	202
819	919	201
820	920	200
821	921	199
822	923	198
823	924	197
824	925	196
825	926	195
826	927	193
827	928	192
828	930	191
829	931	190
830	932	189
831	933	188
832	934	187
833	935	186
834	937	185
835	938	184
836	940	183
837	941	181
838	942	180
839	944	179
840	945	178
841	946	177
842	947	176
843	949	175
844	950	174
845	952	173
846	953	172
847	954	171
848	955	170
849	957	168
850	958	167
851	959	166
852	960	165
853	962	164
854	963	163
855	964	162
856	965	161
857	967	160
858	968	158
859	970	157
860	971	156
861	972	155
862	973	154
863	975	153
864	976	152
865	977	151
866	978	150
867	979	149
868	980	147
869	982	146
870	983	145
871	984	144
872	985	143
873	986	142
874	987	141
875	988	139
876	990	138
877	991	137
878	992	136
879	993	135
