iter	Logloss
0	0.6612667526
1	0.6328977999
2	0.6118048703
3	0.5906709914
4	0.5717975542
5	0.5542597912
6	0.5404152289
7	0.5280765226
8	0.5168433126
9	0.5072662493
10	0.4998497316
11	0.4917966226
12	0.484602681
13	0.4785742207
14	0.4727350863
15	0.4679687983
16	0.4633715173
17	0.4599251702
18	0.4558786353
19	0.4528734955
20	0.4500055292
21	0.4470698786
22	0.4450707919
23	0.4426893731
24	0.4407963072
25	0.4387882399
26	0.4370549875
27	0.4353061576
28	0.4337177579
29	0.4325108016
30	0.43103629
31	0.4299073296
32	0.4288322116
33	0.4278617241
34	0.4268741634
35	0.4260412534
36	0.4253005197
37	0.4243609815
38	0.4235680361
39	0.4223701558
40	0.4215933089
41	0.4208182483
42	0.4202746721
43	0.419537819
44	0.4188568832
45	0.418220491
46	0.4177537237
47	0.4171529929
48	0.416403011
49	0.4159922454
50	0.4154652358
51	0.4150039543
52	0.4143557445
53	0.4140442124
54	0.4136773837
55	0.4131877728
56	0.4128689847
57	0.4122245637
58	0.4116922107
59	0.411368111
60	0.4110308301
61	0.4107562127
62	0.4103659795
63	0.4099548705
64	0.4097773743
65	0.4094049345
66	0.4091225221
67	0.4087505956
68	0.4084261849
69	0.4081191569
70	0.4078537176
71	0.4076773407
72	0.4073897062
73	0.4071465025
74	0.4069397899
75	0.4067501174
76	0.4066167527
77	0.4064950978
78	0.4063558984
79	0.406137339
80	0.4059031842
81	0.405724276
82	0.4054999989
83	0.4052581553
84	0.4051238109
85	0.4050143428
86	0.4047935811
87	0.4046678431
88	0.4045381591
89	0.4044526055
90	0.4042844252
91	0.4040698198
92	0.4038669871
93	0.4036664221
94	0.4035330963
95	0.4034343263
96	0.403333467
97	0.4031677464
98	0.402992863
99	0.4028553517
100	0.4027328055
101	0.4025675154
102	0.4025088714
103	0.4024583156
104	0.4022366038
105	0.4019880527
106	0.4018811422
107	0.4018357362
108	0.4016423929
109	0.4015314267
110	0.4013969131
111	0.4013262284
112	0.4012130125
113	0.4011359013
114	0.4010159054
115	0.4008894627
116	0.4006881
117	0.4005271898
118	0.4004528372
119	0.4003310545
120	0.4002558269
121	0.4001336282
122	0.4000213122
123	0.3999123809
124	0.3997969609
125	0.3996963422
126	0.399621209
127	0.3995012915
128	0.3993730614
129	0.3992178178
130	0.3991787636
131	0.3991010752
132	0.3989681053
133	0.3989150437
134	0.3988301859
135	0.3988041306
136	0.3986681595
137	0.3985873461
138	0.3985228175
139	0.3984433511
140	0.3984162519
141	0.3983520575
142	0.3981959604
143	0.3981247125
144	0.3979514637
145	0.3979090578
146	0.3978502101
147	0.3977725827
148	0.3977134997
149	0.3976332625
150	0.3975231227
151	0.3974482762
152	0.3973566319
153	0.3972815625
154	0.3971449892
155	0.3970530176
156	0.3970309237
157	0.3968897323
158	0.396756363
159	0.396678497
160	0.3966061258
161	0.3965114278
162	0.3964187884
163	0.3963246476
164	0.3962642007
165	0.396197089
166	0.3961391046
167	0.3960741988
168	0.3959807193
169	0.395873873
170	0.3957503666
171	0.3956510428
172	0.3955499856
173	0.3954416301
174	0.3953565652
175	0.3952795747
176	0.3951717121
177	0.395058198
178	0.3950008174
179	0.3948789741
180	0.394731237
181	0.3946763146
182	0.3945946729
183	0.394519692
184	0.3943884235
185	0.3942755363
186	0.3941535108
187	0.3940777576
188	0.3940011028
189	0.3939010998
190	0.3937786071
191	0.3936441475
192	0.3935166793
193	0.3934456049
194	0.393341467
195	0.3932522678
196	0.393157561
197	0.3930839579
198	0.3929749874
199	0.3928451352
