iter	Passed	Remaining
0	1	347
1	3	335
2	4	328
3	6	320
4	8	314
5	9	307
6	10	300
7	12	299
8	13	295
9	15	292
10	16	290
11	18	288
12	19	287
13	21	285
14	23	283
15	24	280
16	25	278
17	27	276
18	28	276
19	30	273
20	31	272
21	33	271
22	35	271
23	36	269
24	38	266
25	39	264
26	41	263
27	42	260
28	43	258
29	45	260
30	47	258
31	48	256
32	50	254
33	51	252
34	53	251
35	54	249
36	56	247
37	57	245
38	59	243
39	60	242
40	62	241
41	63	239
42	65	237
43	66	236
44	68	234
45	69	233
46	71	231
47	72	229
48	73	227
49	75	226
50	77	225
51	78	223
52	80	222
53	81	220
54	83	219
55	84	217
56	86	215
57	87	214
58	89	213
59	90	211
60	92	210
61	94	209
62	96	208
63	97	207
64	99	206
65	101	205
66	102	204
67	104	202
68	105	200
69	107	198
70	108	197
71	109	195
72	111	193
73	112	191
74	113	189
75	115	188
76	116	186
77	118	184
78	120	185
79	122	184
80	124	183
81	126	182
82	128	180
83	130	179
84	131	178
85	132	176
86	134	174
87	135	172
88	136	170
89	137	168
90	139	166
91	140	164
92	141	163
93	143	161
94	144	159
95	145	158
96	147	156
97	148	154
98	150	153
99	152	152
100	153	150
101	155	149
102	157	147
103	158	146
104	160	144
105	161	143
106	162	141
107	163	139
108	165	137
109	166	136
110	168	134
111	169	132
112	170	131
113	171	129
114	173	127
115	174	126
116	175	124
117	177	123
118	178	121
119	180	120
120	181	118
121	182	116
122	184	115
123	185	113
124	186	112
125	188	110
126	189	108
127	190	107
128	192	105
129	194	104
130	195	103
131	197	101
132	198	100
133	200	98
134	201	97
135	203	95
136	204	94
137	206	92
138	207	91
139	209	89
140	210	88
141	212	86
142	213	85
143	214	83
144	216	82
145	217	80
146	219	79
147	220	77
148	221	75
149	223	74
150	224	72
151	226	71
152	227	69
153	229	68
154	230	66
155	232	65
156	233	63
157	234	62
158	236	60
159	237	59
160	239	57
161	240	56
162	242	54
163	243	53
164	245	52
165	247	50
166	249	49
167	250	47
168	252	46
169	253	44
170	255	43
171	256	41
172	258	40
173	259	38
174	261	37
175	263	35
176	264	34
177	266	32
178	267	31
179	269	29
180	270	28
181	271	26
182	273	25
183	274	23
184	275	22
185	277	20
186	278	19
187	280	17
188	281	16
189	282	14
190	284	13
191	285	11
192	287	10
193	288	8
194	289	7
195	291	5
196	292	4
197	293	2
198	295	1
199	296	0
