iter	Passed	Remaining
0	0	367
1	0	378
2	1	362
3	1	391
4	2	408
5	2	410
6	2	415
7	3	401
8	3	407
9	4	412
10	4	393
11	4	399
12	5	403
13	5	409
14	6	413
15	6	415
16	7	420
17	7	421
18	8	424
19	8	427
20	9	429
21	9	431
22	10	437
23	10	437
24	11	438
25	11	442
26	12	453
27	13	464
28	14	473
29	14	466
30	14	460
31	15	458
32	16	469
33	16	468
34	17	485
35	18	488
36	18	483
37	19	483
38	19	488
39	20	492
40	21	498
41	21	494
42	22	497
43	23	500
44	23	503
45	24	505
46	24	504
47	25	502
48	25	502
49	26	501
50	26	498
51	27	496
52	27	496
53	28	495
54	28	493
55	29	494
56	29	494
57	30	493
58	30	493
59	31	492
60	31	492
61	32	495
62	33	497
63	34	502
64	34	503
65	35	500
66	35	500
67	36	501
68	37	503
69	37	502
70	38	502
71	39	502
72	39	500
73	39	498
74	40	496
75	40	495
76	41	493
77	41	493
78	42	492
79	42	492
80	43	493
81	44	495
82	44	494
83	45	492
84	45	490
85	46	489
86	46	487
87	46	486
88	47	484
89	47	482
90	48	481
91	48	479
92	49	478
93	49	476
94	49	475
95	50	474
96	50	472
97	51	471
98	51	470
99	52	469
100	52	468
101	53	467
102	53	466
103	53	465
104	54	464
105	54	463
106	55	463
107	56	463
108	56	463
109	57	463
110	57	462
111	58	461
112	58	460
113	59	459
114	59	458
115	60	457
116	60	456
117	60	455
118	61	453
119	61	453
120	62	452
121	62	451
122	63	450
123	63	449
124	64	448
125	64	447
126	64	445
127	65	444
128	65	443
129	66	443
130	66	442
131	67	440
132	67	440
133	67	439
134	68	438
135	68	437
136	69	436
137	69	435
138	70	434
139	70	433
140	71	432
141	71	431
142	71	430
143	72	430
144	72	429
145	73	429
146	73	428
147	74	427
148	74	426
149	75	425
150	75	424
151	75	423
152	76	423
153	76	422
154	77	421
155	77	420
156	78	419
157	78	419
158	79	418
159	79	417
160	79	416
161	80	415
162	80	414
163	81	414
164	81	413
165	82	412
166	82	411
167	82	410
168	83	410
169	83	409
170	84	408
171	84	407
172	85	406
173	85	406
174	85	405
175	86	404
176	86	403
177	87	403
178	87	402
179	88	401
180	88	401
181	89	400
182	89	399
183	89	399
184	90	398
185	90	397
186	91	396
187	91	396
188	92	395
189	92	395
190	93	394
191	93	394
192	94	393
193	94	392
194	94	392
195	95	391
196	95	390
197	96	390
198	96	389
199	97	388
200	97	387
201	98	387
202	98	386
203	98	385
204	99	385
205	99	384
206	100	383
207	100	383
208	101	382
209	101	381
210	101	381
211	102	380
212	102	380
213	103	379
214	103	379
215	104	378
216	104	377
217	105	377
218	105	376
219	106	376
220	106	375
221	106	374
222	107	374
223	107	373
224	108	372
225	108	372
226	109	371
227	109	371
228	110	370
229	110	369
230	110	369
231	111	368
232	111	367
233	112	367
234	112	366
235	113	366
236	113	365
237	114	365
238	114	364
239	114	364
240	115	363
241	115	362
242	116	362
243	116	361
244	117	360
245	117	360
246	118	359
247	118	359
248	118	358
249	119	358
250	119	357
251	120	356
252	120	356
253	121	355
254	121	355
255	122	354
256	122	354
257	122	353
258	123	353
259	123	352
260	124	352
261	124	351
262	125	350
263	125	350
264	126	349
265	126	349
266	126	348
267	127	348
268	127	347
269	128	347
270	128	346
271	129	345
272	129	345
273	130	344
274	130	344
275	131	343
276	131	343
277	131	342
278	132	342
279	132	341
280	133	341
281	133	341
282	134	340
283	134	339
284	135	339
285	135	338
286	136	338
287	136	337
288	137	337
289	137	336
290	137	336
291	138	335
292	138	334
293	139	334
294	139	333
295	140	333
296	140	332
297	141	332
298	141	331
299	141	331
300	142	330
301	142	330
302	143	329
303	143	328
304	144	328
305	144	327
306	145	327
307	145	326
308	145	326
309	146	325
310	146	325
311	147	324
312	147	324
313	148	323
314	148	323
315	149	322
316	149	322
317	149	321
318	150	320
319	150	320
320	151	319
321	151	319
322	152	318
323	152	318
324	152	317
325	153	317
326	153	316
327	154	316
328	154	315
329	155	315
330	155	314
331	156	314
332	156	313
333	156	313
334	157	312
335	157	311
336	158	311
337	158	310
338	159	310
339	159	309
340	160	309
341	160	308
342	160	308
343	161	307
344	161	307
345	162	306
346	162	306
347	163	305
348	163	305
349	164	304
350	164	304
351	164	303
352	165	303
353	165	302
354	166	302
355	166	301
356	167	301
357	167	300
358	168	300
359	168	299
360	169	299
361	169	298
362	169	298
363	170	297
364	170	297
365	171	296
366	171	296
367	172	296
368	172	295
369	173	295
370	174	296
371	175	295
372	175	295
373	176	294
374	176	294
375	177	293
376	177	293
377	178	293
378	178	292
379	179	292
380	179	291
381	180	291
382	180	290
383	181	290
384	181	290
385	182	289
386	182	289
387	183	288
388	183	288
389	184	287
390	184	287
391	185	286
392	185	286
393	186	286
394	186	285
395	187	285
396	187	284
397	188	284
398	188	283
399	189	283
400	189	283
401	190	282
402	190	282
403	191	282
404	191	281
405	192	281
406	192	280
407	193	280
408	193	280
409	194	279
410	194	279
411	195	278
412	195	278
413	196	277
414	196	277
415	197	277
416	197	276
417	198	276
418	198	275
419	199	275
420	199	274
421	200	274
422	200	273
423	201	273
424	201	272
425	202	272
426	202	272
427	203	271
428	203	271
429	204	270
430	204	270
431	205	269
432	205	269
433	206	269
434	206	268
435	207	268
436	207	267
437	208	267
438	208	266
439	209	266
440	209	265
441	210	265
442	210	265
443	211	264
444	211	264
445	212	263
446	212	263
447	213	262
448	213	262
449	214	262
450	214	261
451	215	261
452	215	260
453	216	260
454	216	259
455	217	259
456	217	258
457	218	258
458	218	257
