iter	RMSE
0	0.343990113
1	0.3434201361
2	0.342288091
3	0.341735546
4	0.3412940928
5	0.340849197
6	0.3400135099
7	0.3395606856
8	0.3391408607
9	0.3381102152
10	0.337576527
11	0.3371492916
12	0.3362189334
13	0.3358769546
14	0.3350596197
15	0.334558957
16	0.3341561006
17	0.3334798678
18	0.3329994564
19	0.3322196396
20	0.3317457333
21	0.3313790107
22	0.3309238142
23	0.3302687237
24	0.3298923465
25	0.3295279277
26	0.3291689699
27	0.3288152929
28	0.3280965053
29	0.3277507685
30	0.3274019178
31	0.3270633971
32	0.3267239541
33	0.3264018315
34	0.3261328608
35	0.3258005824
36	0.3254747311
37	0.3251598076
38	0.3248671747
39	0.3246116748
40	0.3243002269
41	0.3240189761
42	0.3237223974
43	0.3234381083
44	0.3232030754
45	0.3229163819
46	0.322698897
47	0.3224826653
48	0.3221610935
49	0.321861898
50	0.3210550667
51	0.3207921061
52	0.3205261224
53	0.3203671672
54	0.320213265
55	0.3200177486
56	0.3197676967
57	0.319532809
58	0.3190237068
59	0.3183345164
60	0.3180988327
61	0.3178736884
62	0.3176332247
63	0.3174471687
64	0.3172527296
65	0.3164668615
66	0.3162394568
67	0.3160033654
68	0.3158278446
69	0.3153369916
70	0.3151677653
71	0.3149898245
72	0.3148144263
73	0.3145995837
74	0.3143776986
75	0.3142535381
76	0.3140799987
77	0.3139003001
78	0.3137354297
79	0.3135321525
80	0.3133301166
81	0.3128124548
82	0.3126486228
83	0.3124974059
84	0.3123086314
85	0.31212819
86	0.3120207778
87	0.3118637055
88	0.3117107609
89	0.3115614774
90	0.3114301678
91	0.3108659995
92	0.310692399
93	0.3105495611
94	0.3104465231
95	0.3103106474
96	0.3098171275
97	0.3096558058
98	0.3095210568
99	0.3093545506
100	0.3088933125
101	0.3082576378
102	0.3081203032
103	0.3079599345
104	0.3078589102
105	0.3077468349
106	0.3075913335
107	0.3071901685
108	0.3070975785
109	0.3067050048
110	0.3062211257
111	0.3060969418
112	0.3059998852
113	0.3058564276
114	0.3057343607
115	0.3056184313
116	0.3055003939
117	0.3053510698
118	0.3049516942
119	0.304851151
120	0.3047397109
121	0.3046590281
122	0.3045187328
123	0.3043822204
124	0.3043009863
125	0.3042015244
126	0.3038564607
127	0.3037269846
128	0.3036011295
129	0.3034793823
130	0.3033832852
131	0.3032872932
132	0.3031581397
133	0.3030444988
134	0.3029411995
135	0.302845985
136	0.3027189274
137	0.3026211402
138	0.3024987191
139	0.3021275429
140	0.3020401455
141	0.3019420374
142	0.3013284878
143	0.3009487988
144	0.3008545779
145	0.3007652857
146	0.3006513123
147	0.3005388461
148	0.3001629446
149	0.3000546596
150	0.2999506717
151	0.2998709985
152	0.2997736744
153	0.2993368722
154	0.2992310905
155	0.2991039664
156	0.2986437891
157	0.2985216466
158	0.2983992389
159	0.298281845
160	0.2981545132
161	0.2980501135
162	0.2979323442
163	0.2978178166
164	0.2977071651
165	0.2975872359
166	0.297479782
167	0.2973752295
168	0.2972721531
169	0.2971697617
170	0.2968030539
171	0.2966996937
172	0.2962747583
173	0.2961714731
174	0.2960661602
175	0.2959649611
176	0.2958595171
177	0.295762455
178	0.2956703088
179	0.2952799293
180	0.2951847477
181	0.295089447
182	0.2949910696
183	0.2946393149
184	0.2945402175
185	0.2944441061
186	0.2943543544
187	0.2939732336
188	0.2936358655
189	0.2935068182
190	0.2934144335
191	0.2933271349
192	0.2929783919
193	0.2928898981
194	0.2928028774
195	0.2924808319
196	0.2923952198
197	0.2920819648
198	0.2919991893
199	0.2919118626
200	0.2918300918
201	0.2917459966
202	0.2914999159
203	0.2911705764
204	0.2910858059
205	0.2908084093
206	0.2907287777
207	0.2902394772
208	0.2901561311
209	0.2900771971
210	0.2899996633
211	0.2899232162
212	0.289844067
213	0.2896016554
214	0.2895283826
215	0.2893611104
216	0.2892869845
217	0.2890463136
218	0.2888768115
219	0.2886221556
220	0.2883562928
221	0.2882846004
222	0.2882128915
223	0.2881422076
224	0.2879159088
225	0.2878428536
226	0.2876235011
227	0.287410171
228	0.2870534396
229	0.286983986
230	0.286915955
231	0.2868486398
232	0.2867818278
233	0.2867127556
234	0.2864584622
235	0.2863929629
236	0.2862998518
237	0.2862255833
238	0.2859764598
239	0.2858930312
240	0.2856416361
241	0.2854318323
242	0.2853594946
243	0.2850588816
244	0.2849955834
245	0.2848331689
246	0.2845814094
247	0.2845184579
248	0.2844410418
249	0.2843658844
250	0.2842713586
251	0.2841327989
252	0.2840710721
253	0.2840102489
254	0.2839281069
255	0.2836872492
256	0.2835023113
257	0.283442058
258	0.2833825822
259	0.2831724594
260	0.2831137263
261	0.2830552017
262	0.2829037378
263	0.2828462964
264	0.2827892585
265	0.2827329945
266	0.2826573838
267	0.282419859
268	0.2822687164
269	0.2820793707
270	0.2820235219
271	0.2819679526
272	0.2819131648
273	0.2817976942
274	0.281652433
275	0.2815980515
276	0.2812781165
277	0.281121834
278	0.2809778265
279	0.2809021213
280	0.2808477744
281	0.2807942061
282	0.2807408092
283	0.2806044123
284	0.2803957112
285	0.2803429896
286	0.2802670281
287	0.2800729038
288	0.2800205831
289	0.2798632938
290	0.2797286783
291	0.2796764961
292	0.2794906808
293	0.2794391102
294	0.2793381428
295	0.2792370237
296	0.2791859408
297	0.2790333615
298	0.2789076429
299	0.278856693
300	0.2788061975
301	0.2786033273
302	0.2785288054
303	0.2784786546
304	0.2783290709
305	0.2782097531
306	0.2781598667
307	0.2780016928
308	0.2779521121
309	0.2779030401
310	0.2778552899
311	0.2778067152
312	0.2777318542
313	0.2775985113
314	0.2775501319
315	0.2774126974
316	0.2773646532
317	0.2773169482
318	0.277164351
319	0.2770060874
320	0.2768085569
321	0.2767609157
322	0.2766719623
323	0.2766144743
324	0.276457586
325	0.2763797447
326	0.2763323131
327	0.2762643303
328	0.2761864908
329	0.2761395539
330	0.2760409619
331	0.2759776611
332	0.2759332713
333	0.2758869586
334	0.2758110859
335	0.2757662547
336	0.2757205754
337	0.2756751674
338	0.2756299682
339	0.2755849869
340	0.2755402071
341	0.2754272401
342	0.2753850348
343	0.2752752998
344	0.2749847185
345	0.2748352917
346	0.2747906841
347	0.2747463501
348	0.2745497428
349	0.2745055569
350	0.2744629758
351	0.2744217255
352	0.27434664
353	0.2742354146
354	0.2741920269
355	0.2741488336
356	0.2739822789
357	0.2739392083
358	0.2738963353
359	0.2738471572
360	0.2737508331
361	0.2737083549
362	0.2736660935
363	0.2734890154
364	0.2733812586
365	0.2733093336
366	0.2731331144
367	0.2730931087
368	0.2730510771
369	0.2729704488
370	0.2728755775
371	0.2728356061
372	0.2726313936
373	0.2725897322
374	0.2725483049
375	0.2724870228
376	0.2723204214
377	0.2722791241
378	0.272210629
379	0.2721694791
380	0.272098825
381	0.2719713708
382	0.2718231567
383	0.2717821893
384	0.2717413991
385	0.2717008362
386	0.2716604922
387	0.2715186625
388	0.271480561
389	0.2713899637
390	0.2713499301
391	0.2713119079
392	0.2710676893
393	0.2710277971
394	0.270891002
395	0.2708512652
396	0.2707498371
397	0.2707124066
398	0.2706719525
399	0.2706325895
400	0.2705760588
401	0.2705368929
402	0.2704671408
403	0.2704321636
404	0.2702913895
405	0.270254714
406	0.2701648749
407	0.2701261233
408	0.2700635792
409	0.2700249645
410	0.2699256944
411	0.2698871903
412	0.2698318617
413	0.2697959695
414	0.2697577974
415	0.2696942712
416	0.2695827239
417	0.269544701
418	0.2695068621
419	0.2693808487
420	0.2692761782
421	0.2692323313
422	0.269180017
423	0.2690958704
424	0.2690581619
425	0.2689356913
426	0.2688981324
427	0.2686818971
428	0.2686443304
429	0.2686063186
430	0.2684682026
431	0.2684309003
432	0.2683936877
433	0.2682437496
434	0.2681731787
435	0.2681359774
436	0.2680259304
437	0.2679618287
438	0.2678633825
439	0.2678287266
440	0.2677792194
441	0.2676788199
442	0.267641806
443	0.2676070031
444	0.2675456683
445	0.267509062
446	0.2674764848
447	0.2674401176
448	0.267327921
449	0.2672915921
450	0.2671479546
451	0.2671142502
452	0.2670338959
453	0.2669977391
454	0.2667858058
455	0.2667313792
456	0.2666962532
457	0.2666602763
458	0.2666244325
459	0.2665887349
460	0.2664640696
461	0.2664284135
462	0.2663928618
463	0.2663600202
464	0.2663246805
465	0.2662894307
466	0.2662543781
467	0.2662194545
468	0.2661846532
469	0.2661499287
470	0.2660274293
471	0.2659809466
472	0.2659462594
473	0.265911688
474	0.2658789225
475	0.2658197602
476	0.2657423414
477	0.2656525477
478	0.2655291279
479	0.2654947348
480	0.2653936454
481	0.2653512074
482	0.2653169832
483	0.2652259405
484	0.2651566174
485	0.265122526
486	0.2650885324
487	0.2650546252
488	0.265020904
489	0.2649871976
490	0.2648919868
491	0.2648583956
492	0.2648254453
493	0.2647553856
494	0.2647242349
495	0.2646910347
496	0.2646188189
497	0.2645726654
498	0.2644704264
499	0.2642941116
500	0.2642375143
501	0.2641865854
502	0.2640731971
503	0.263964674
504	0.26393137
505	0.2638983745
506	0.2638652343
507	0.2638014624
508	0.2637167875
509	0.2636837561
510	0.2636508378
511	0.2635593406
512	0.2635265339
513	0.2634938811
514	0.2634613674
515	0.2634289054
516	0.2633965063
517	0.2633387069
518	0.263306418
519	0.2632738055
520	0.2631487632
521	0.2631022776
522	0.2630546683
523	0.2630225282
524	0.2629904978
525	0.2628721646
526	0.262785026
527	0.26272632
528	0.2625834397
529	0.2625514599
530	0.2625054063
531	0.2624052512
532	0.2623622899
533	0.262260176
534	0.2622283006
535	0.2621777187
536	0.2621460563
537	0.2621143289
538	0.2620184795
539	0.2619869894
540	0.2619249787
541	0.2618934361
542	0.2618621735
543	0.2617616103
544	0.2616814375
545	0.2616267142
546	0.2615962089
547	0.2615032872
548	0.2614395153
549	0.2614082009
550	0.2613770414
551	0.2613459888
552	0.2613149882
553	0.2612255176
554	0.2611568854
555	0.2611260579
556	0.2610477422
557	0.2610168225
558	0.2609859833
559	0.2609552278
560	0.2609245751
561	0.2608940303
562	0.2607296808
563	0.2606991278
564	0.2606687228
565	0.2606406785
566	0.2605908503
567	0.2605605564
568	0.2604672197
569	0.2604371013
570	0.2604082346
571	0.260379211
572	0.2602712172
573	0.2602277234
574	0.2601931846
575	0.2601483413
576	0.2601182839
577	0.2600883257
578	0.2600291847
579	0.2599993148
580	0.2599150386
581	0.2598363017
582	0.2597779545
583	0.2597234735
584	0.2596936679
585	0.2596344529
586	0.2596049039
587	0.2595752208
588	0.2594548751
589	0.2592790098
590	0.2592493007
591	0.2591945219
