iter	MultiClass
0	1.2826233
1	1.186150351
2	1.103565432
3	1.037366824
4	0.9802965419
5	0.9340447505
6	0.8850523495
7	0.8446545871
8	0.7995464309
9	0.764296591
10	0.7227480477
11	0.7001664007
12	0.6716792128
13	0.6449843453
14	0.6202286187
15	0.5931911898
16	0.572403649
17	0.5537396078
18	0.5347968595
19	0.5189463934
20	0.5039060074
21	0.4922552952
22	0.4786337292
23	0.4649655861
24	0.4517416152
25	0.4420463588
26	0.4302391127
27	0.4190713757
28	0.4067941405
29	0.3981953208
30	0.3868088266
31	0.3790254075
32	0.3708050496
33	0.3644468633
34	0.3583125056
35	0.3527482859
36	0.3486306131
37	0.3438848996
38	0.3389923732
39	0.3346138902
40	0.3284867659
41	0.3237942711
42	0.3179690863
43	0.3141734567
44	0.3105421674
45	0.3059929957
46	0.303486707
47	0.2976734969
48	0.2952849889
49	0.2915784462
50	0.2881574397
51	0.2853168478
52	0.2820426704
53	0.2793673917
54	0.2745643058
55	0.2703811764
56	0.2669390727
57	0.2636452198
58	0.2606613507
59	0.2583046846
60	0.2552269031
61	0.2525829422
62	0.249573477
63	0.2477946265
64	0.2472745335
65	0.2444217235
66	0.2426552869
67	0.2402745777
68	0.2385715354
69	0.2362394484
70	0.2330593144
71	0.2314817513
72	0.2303178931
73	0.2289328992
74	0.2277622789
75	0.2264138396
76	0.2245447512
77	0.2223825142
78	0.2212543552
79	0.2203940909
80	0.2182880297
81	0.2167045179
82	0.2137806779
83	0.2113372503
84	0.2101374283
85	0.2088632968
86	0.2080662738
87	0.2061464076
88	0.2050117618
89	0.2027305102
90	0.2003974768
91	0.1993091216
92	0.1972876306
93	0.1957431312
94	0.1935717882
95	0.1912287828
96	0.1892424143
97	0.1880255896
98	0.186972939
99	0.1851753609
100	0.1839435062
101	0.1821883097
102	0.1805967757
103	0.1791612856
104	0.1776484724
105	0.1762595899
106	0.175321575
107	0.1738873039
108	0.1732335659
109	0.1723674386
110	0.1712818571
111	0.1705590322
112	0.1692221276
113	0.1687824322
114	0.1681227578
115	0.1670137003
116	0.1659249378
117	0.1641679373
118	0.1633384889
119	0.162488323
120	0.1612602775
121	0.1602933478
122	0.1588950377
123	0.158119887
124	0.1570000847
125	0.1558771593
126	0.1551575042
127	0.1536730469
128	0.1525028868
129	0.1514084773
130	0.1504924379
131	0.1495817781
132	0.1480830921
133	0.1471776413
134	0.1462026706
135	0.1451104119
136	0.1440722856
137	0.1427794648
138	0.1422249056
139	0.1416229588
140	0.1410387649
141	0.1404827618
142	0.1393405684
143	0.1388656839
144	0.1378158921
145	0.1372419089
146	0.1365918312
147	0.1362001541
148	0.1358228563
149	0.1353039863
150	0.1347808107
151	0.1343980035
152	0.1336142117
153	0.1325912295
154	0.1315157806
155	0.1308445363
156	0.129544196
157	0.1287654901
158	0.1285018977
159	0.1274837728
160	0.1269701317
161	0.126025449
162	0.1255570851
163	0.1249160416
164	0.1244465939
165	0.1238213247
166	0.1229548969
167	0.1221809487
168	0.1217291102
169	0.1206992026
170	0.1201624161
171	0.119388211
172	0.1190717591
173	0.1184147089
174	0.1178238638
175	0.1171627747
176	0.1168102374
177	0.1159857
178	0.1156532442
179	0.1149570947
180	0.1146783
181	0.11419922
182	0.1136417273
183	0.1131342638
184	0.1128975682
185	0.112655242
186	0.1122053782
187	0.1117118363
188	0.1112250263
189	0.1106318976
190	0.1102966273
191	0.1096441931
192	0.1092315823
193	0.1087390176
194	0.1081901155
195	0.1078031375
196	0.1075833716
197	0.1071520973
198	0.1067986214
199	0.1062553532
200	0.105831312
201	0.105483385
202	0.1049598277
203	0.1044885109
204	0.1039455417
205	0.1035089938
206	0.103273698
207	0.1029177947
208	0.1026933557
209	0.1025442632
210	0.1021551291
211	0.1019678269
212	0.1017351616
213	0.1014369639
214	0.1009152853
215	0.1006287501
216	0.1003482826
217	0.09983289431
218	0.0994300512
219	0.09927401293
220	0.09895241945
221	0.09862970061
222	0.09831092246
223	0.09791655671
224	0.09756322383
225	0.09718115241
226	0.09665601376
227	0.09630294149
228	0.09562253312
229	0.09532520214
230	0.09485135189
231	0.09466132571
232	0.09436238745
233	0.09412987561
234	0.09363583687
235	0.09333502742
236	0.09304276309
237	0.09290509195
238	0.09273796408
239	0.0924155965
240	0.09196380287
241	0.09147709984
242	0.09108148819
243	0.09083364748
244	0.09041297152
245	0.09018768694
246	0.0899461527
247	0.08951950499
248	0.08930390378
249	0.08893125612
250	0.08873253075
251	0.08820217205
252	0.08789697038
253	0.08768110934
254	0.08757751074
255	0.08703381982
256	0.08659441917
257	0.08611949559
258	0.08573398085
259	0.08540129516
260	0.08504022544
261	0.0848898483
262	0.08472627256
263	0.08444768889
264	0.08407342288
265	0.08398938524
266	0.08370753654
267	0.08321564589
268	0.08300533396
269	0.08276777341
270	0.08261092085
271	0.08237170633
272	0.08210171515
273	0.08194339712
274	0.08183456488
275	0.08153710546
276	0.08117680592
277	0.0810301108
278	0.08074313231
279	0.08035187276
280	0.08015815725
281	0.07995283279
282	0.07968294126
283	0.07953002714
284	0.07930075193
285	0.07889286232
286	0.07862524451
287	0.07843260453
288	0.0780497319
289	0.07785492706
290	0.0776546656
291	0.07737493595
292	0.07720976659
293	0.07700953643
294	0.07676410118
295	0.0765703792
296	0.07633230963
297	0.0759127865
298	0.07577425006
299	0.07559660747
300	0.07531839542
301	0.07514482034
302	0.07497578587
303	0.07465657891
304	0.07448371712
305	0.07433841763
306	0.07390872194
307	0.07373294792
308	0.07347202914
309	0.07331815582
310	0.07310810942
311	0.07262399027
312	0.07250771199
313	0.07228566899
314	0.07203765901
315	0.07183234079
316	0.07164001206
317	0.07138816825
318	0.07127360972
319	0.07098808183
320	0.07076968482
321	0.07062421513
322	0.0703963761
323	0.07020175231
324	0.07003854196
325	0.06986288467
326	0.06968134436
327	0.0693736179
328	0.06917714023
329	0.06895839473
330	0.06884549475
331	0.06876521284
332	0.06853385489
333	0.06831823946
334	0.06820067305
335	0.0680774312
336	0.06795539832
337	0.06769994941
338	0.0674490658
339	0.06722856483
340	0.06712366943
341	0.06704404152
342	0.06688759355
343	0.06669327188
344	0.06639501362
345	0.06618172613
346	0.06593197648
347	0.06576742976
348	0.06549837529
349	0.06535954965
350	0.06522947642
351	0.06493894807
352	0.06486045954
353	0.06468115389
354	0.06452093096
355	0.06430527686
356	0.06403091589
357	0.06382274186
358	0.06352440354
359	0.06343492018
360	0.06334018528
361	0.06311691979
362	0.06295753905
363	0.06256696131
364	0.06231522165
365	0.06222759261
366	0.06199572334
367	0.06189096723
368	0.06174658167
369	0.06149164524
370	0.06131795028
371	0.06104909883
372	0.06090243504
373	0.06073883922
374	0.06059137723
375	0.06036981904
376	0.06023444124
377	0.06013269944
378	0.05998311114
379	0.05982515073
380	0.05972173003
381	0.05948726333
382	0.05927436823
383	0.05913581507
384	0.05907491645
385	0.05888534494
386	0.05878888231
387	0.05874173384
388	0.05864604748
389	0.05845558799
390	0.05834077454
391	0.05817427247
392	0.05802975153
393	0.05770686136
394	0.05749901646
395	0.05738228221
396	0.05723545574
397	0.05706043329
398	0.0568353212
399	0.05669170371
400	0.05648505844
401	0.05636596598
402	0.05622126259
403	0.05608643885
404	0.05595610941
405	0.05577454505
406	0.05559147933
407	0.05547963418
408	0.05527452625
409	0.05517803139
410	0.0549315053
411	0.0548341837
412	0.05474078063
413	0.0545593078
414	0.05437168335
415	0.05420878343
416	0.05406750421
417	0.05396720022
418	0.05380816752
419	0.05373067011
420	0.05353004659
421	0.05346987433
422	0.05336715066
423	0.05321205379
424	0.05299236766
425	0.05289186041
426	0.05274954026
427	0.05266036369
428	0.05248947528
429	0.05233745001
430	0.05223543473
431	0.052098991
432	0.05187399318
433	0.0517329084
434	0.05165081074
435	0.05157940421
436	0.05141647973
437	0.05133337519
438	0.05118843994
439	0.05104085693
440	0.05090790621
441	0.05076690278
442	0.0506085643
443	0.05052181983
444	0.05040957928
445	0.05018082354
446	0.05006078321
447	0.04994075675
448	0.0498124237
449	0.04970729163
450	0.04957750593
451	0.04947318549
452	0.0493616186
453	0.04926464231
454	0.04907495887
455	0.04900353142
456	0.04890021184
457	0.04881825554
458	0.04862397047
459	0.04846094921
460	0.04832420811
461	0.0482028766
462	0.04811171517
463	0.04803056383
464	0.04793161031
465	0.04782706129
466	0.04776357406
467	0.04765115061
468	0.04756035485
469	0.04743353963
470	0.04736601375
471	0.04722340617
472	0.04710592972
473	0.04685768947
474	0.04674899291
475	0.04667450208
476	0.04657108567
477	0.04643665872
478	0.04637373138
479	0.04627177846
480	0.04613829537
481	0.04598406363
482	0.04590365611
483	0.04579004957
484	0.04567168672
485	0.04554878621
486	0.04548956399
487	0.04544851373
