iter	Passed	Remaining
0	59	59267
1	61	30933
2	64	21373
3	66	16656
4	69	13771
5	71	11784
6	73	10372
7	75	9317
8	77	8505
9	79	7859
10	81	7323
11	83	6865
12	85	6489
13	88	6204
14	90	5918
15	92	5666
16	94	5450
17	96	5251
18	98	5076
19	100	4915
20	102	4773
21	104	4640
22	106	4515
23	108	4421
24	110	4318
25	112	4219
26	114	4134
27	116	4053
28	118	3974
29	120	3906
30	122	3838
31	124	3771
32	126	3713
33	128	3662
34	131	3612
35	133	3561
36	135	3514
37	137	3471
38	139	3428
39	141	3389
40	143	3349
41	145	3314
42	147	3277
43	149	3245
44	151	3212
45	153	3182
46	155	3155
47	157	3128
48	159	3102
49	161	3076
50	164	3051
51	166	3027
52	168	3003
53	170	2982
54	172	2959
55	174	2936
56	176	2915
57	178	2893
58	180	2871
59	182	2851
60	184	2833
61	186	2815
62	188	2797
63	190	2779
64	191	2761
65	194	2752
66	197	2744
67	199	2735
68	201	2724
69	205	2723
70	207	2710
71	209	2696
72	211	2684
73	214	2681
74	217	2677
75	220	2681
76	222	2669
77	224	2655
78	226	2645
79	229	2644
80	233	2645
81	235	2637
82	237	2628
83	240	2618
84	242	2608
85	244	2596
86	246	2584
87	248	2574
88	250	2563
89	252	2554
90	254	2543
91	256	2531
92	258	2521
93	260	2512
94	262	2503
95	264	2494
96	266	2483
97	268	2473
98	270	2463
99	272	2455
100	274	2446
101	276	2438
102	278	2429
103	280	2420
104	282	2411
105	284	2402
106	286	2393
107	288	2385
108	291	2381
109	293	2372
110	295	2364
111	297	2360
112	300	2357
113	302	2350
114	304	2341
115	306	2334
116	308	2327
117	310	2320
118	312	2314
119	314	2307
120	316	2301
121	318	2293
122	320	2286
123	322	2278
124	324	2272
125	326	2266
126	328	2259
127	330	2252
128	332	2246
129	334	2240
130	336	2233
131	338	2227
132	340	2221
133	343	2216
134	345	2210
135	346	2204
136	349	2198
137	351	2192
138	352	2186
139	354	2180
140	356	2174
141	358	2168
142	360	2163
143	363	2157
144	365	2152
145	366	2146
146	368	2139
147	370	2134
148	372	2128
149	374	2123
150	376	2118
151	378	2113
152	380	2107
153	382	2102
154	384	2096
155	386	2092
156	389	2090
157	391	2087
158	394	2084
159	396	2081
160	398	2079
161	401	2076
162	403	2073
163	406	2071
164	408	2068
165	411	2066
166	413	2063
167	416	2060
168	418	2058
169	420	2055
170	423	2052
171	425	2049
172	428	2047
173	430	2044
174	433	2042
175	436	2042
176	438	2039
177	441	2037
178	443	2034
179	446	2033
180	449	2033
181	452	2034
182	455	2031
183	457	2029
184	460	2029
185	462	2025
186	464	2021
187	467	2019
188	470	2017
189	473	2018
190	476	2017
191	478	2014
192	481	2011
193	483	2009
194	485	2004
195	487	2001
196	489	1996
197	491	1992
198	493	1988
199	495	1983
200	498	1980
201	500	1978
202	502	1974
203	504	1970
204	506	1966
205	508	1961
206	510	1957
207	512	1953
208	515	1949
209	516	1944
210	519	1941
211	521	1936
212	522	1932
213	524	1927
214	526	1923
215	528	1919
216	530	1915
217	532	1911
218	534	1907
219	537	1904
220	539	1900
221	541	1896
222	543	1892
223	545	1889
224	547	1885
225	549	1882
226	551	1878
227	553	1875
228	555	1871
229	557	1867
230	559	1863
231	561	1859
232	563	1855
233	565	1852
234	567	1848
235	569	1844
236	571	1841
237	573	1837
238	575	1833
239	577	1829
240	580	1826
241	582	1824
242	584	1822
243	587	1820
244	589	1817
245	592	1815
246	594	1812
247	597	1810
248	599	1807
249	602	1806
250	604	1803
251	606	1801
252	609	1799
253	611	1796
254	614	1794
255	616	1792
256	619	1789
257	621	1788
258	624	1787
259	627	1785
260	629	1782
261	631	1778
262	633	1774
263	635	1771
264	637	1768
265	639	1765
266	641	1762
267	644	1760
268	646	1757
269	648	1753
270	650	1750
271	652	1746
272	654	1743
273	656	1739
274	658	1736
275	660	1732
276	662	1729
277	664	1725
278	666	1722
279	668	1719
280	670	1715
281	672	1712
282	674	1709
283	676	1706
284	678	1702
285	680	1699
286	682	1696
287	684	1692
288	686	1689
289	688	1685
290	690	1682
291	692	1678
292	694	1675
293	696	1672
294	698	1668
295	700	1665
296	702	1662
297	704	1659
298	706	1656
299	708	1652
300	710	1650
301	712	1647
302	714	1643
303	716	1640
304	718	1637
305	720	1634
306	722	1631
307	724	1628
308	726	1624
309	728	1621
310	730	1618
311	733	1616
312	734	1613
313	736	1610
314	738	1607
315	741	1603
316	742	1600
317	744	1597
318	746	1594
319	748	1591
320	750	1588
321	752	1585
322	754	1582
323	756	1579
324	758	1575
325	760	1572
326	762	1569
327	764	1566
328	766	1563
329	768	1560
330	770	1557
331	773	1555
332	775	1553
333	778	1551
334	780	1549
335	782	1547
336	785	1544
337	787	1542
338	790	1540
339	792	1539
340	795	1537
341	797	1535
342	799	1532
343	802	1530
344	804	1528
345	806	1525
346	808	1522
347	811	1519
348	813	1516
349	815	1513
350	817	1511
