iter	Passed	Remaining
0	56	56547
1	57	28605
2	57	19215
3	58	14584
4	59	11767
5	59	9906
6	60	8571
7	60	7535
8	61	6768
9	62	6139
10	62	5607
11	63	5192
12	63	4828
13	64	4521
14	64	4245
15	65	4001
16	65	3789
17	65	3597
18	66	3428
19	66	3275
20	67	3137
21	67	3010
22	68	2895
23	68	2785
24	68	2687
25	69	2597
26	69	2515
27	70	2439
28	70	2368
29	70	2294
30	71	2224
31	71	2162
32	71	2108
33	72	2054
34	73	2015
35	73	1975
36	74	1929
37	74	1888
38	75	1850
39	75	1814
40	76	1782
41	76	1743
42	76	1710
43	77	1679
44	77	1649
45	78	1621
46	78	1593
47	79	1567
48	79	1543
49	79	1519
50	80	1496
51	80	1473
52	81	1452
53	81	1432
54	82	1411
55	82	1392
56	83	1373
57	83	1357
58	84	1340
59	84	1326
60	85	1310
61	85	1296
62	86	1284
63	86	1270
64	87	1258
65	87	1242
66	88	1229
67	88	1215
68	89	1202
69	89	1190
70	90	1177
71	90	1165
72	90	1154
73	91	1143
74	91	1132
75	92	1121
76	92	1111
77	93	1101
78	93	1091
79	94	1081
80	94	1072
81	94	1063
82	95	1054
83	95	1045
84	96	1036
85	96	1028
86	97	1021
87	97	1012
88	98	1004
89	98	996
90	98	988
91	99	980
92	99	973
93	100	966
94	100	959
95	101	953
96	101	946
97	102	939
98	102	933
99	103	927
100	103	920
101	103	914
102	104	908
103	104	902
104	105	896
105	105	890
106	106	885
107	106	879
108	107	874
109	107	869
110	107	863
111	108	858
112	108	853
113	109	848
114	109	844
115	110	839
116	110	834
117	111	830
118	111	825
119	111	820
120	112	816
121	112	811
122	113	808
123	113	803
124	114	799
125	114	795
126	115	791
127	115	787
128	116	783
129	116	780
130	117	776
131	117	772
132	117	769
133	118	765
134	119	762
135	119	759
136	119	755
137	120	751
138	120	748
139	121	744
140	121	741
141	122	738
142	122	735
143	123	731
144	123	728
145	123	725
146	124	721
147	124	718
148	125	715
149	125	712
150	126	709
151	126	706
152	127	703
153	127	700
154	127	697
155	128	694
156	128	691
157	129	688
158	129	685
159	130	682
160	130	679
161	130	677
162	131	674
163	131	671
164	132	668
165	132	666
166	133	663
167	133	661
168	133	658
169	134	656
170	134	653
171	135	651
172	135	648
173	136	646
174	136	643
175	136	641
176	137	638
177	137	636
178	138	634
179	138	631
180	139	629
181	139	627
182	139	624
183	140	622
184	140	620
185	141	618
186	141	616
187	142	613
188	142	611
189	143	609
190	143	607
191	143	605
192	144	603
193	144	601
194	145	599
195	145	597
196	146	595
197	146	593
198	146	591
199	147	589
200	147	587
201	148	585
202	148	583
203	149	581
204	149	579
205	149	577
206	150	576
207	150	574
208	151	572
209	151	570
210	152	568
211	152	567
212	152	565
213	153	563
214	153	561
215	154	559
216	154	558
217	155	556
218	155	554
219	156	553
220	156	551
221	156	549
222	157	548
223	157	546
224	158	544
225	158	543
226	159	541
227	159	540
228	159	538
229	160	536
230	160	535
231	161	533
232	161	532
233	162	530
234	162	529
235	162	527
236	163	526
237	163	524
238	164	523
239	164	521
240	165	520
241	165	518
242	165	517
243	166	515
244	166	514
245	167	512
246	167	511
247	168	509
248	168	508
249	168	506
250	169	505
251	169	504
252	170	502
253	170	501
254	171	499
255	171	498
256	172	497
257	172	495
258	172	494
259	173	493
260	173	491
261	174	490
262	175	491
263	176	490
264	176	489
265	177	488
266	177	487
267	178	486
268	178	485
269	179	484
270	179	483
271	180	482
272	180	481
273	181	480
274	181	479
275	182	478
276	182	477
277	183	476
278	184	475
279	184	474
280	184	473
281	185	472
282	185	470
283	186	469
284	186	468
285	187	467
286	187	466
287	188	465
288	188	464
289	189	463
290	189	462
291	190	461
292	190	460
293	191	459
294	191	458
295	192	457
296	192	456
297	193	455
298	193	454
299	194	453
300	194	452
301	195	451
302	195	450
303	196	449
304	196	448
305	197	447
306	197	446
307	198	445
308	198	444
309	199	443
310	199	442
311	200	441
312	200	441
313	201	440
314	201	439
315	202	438
316	203	437
317	203	436
318	204	435
319	204	434
320	205	434
321	205	433
322	206	432
323	206	431
324	207	430
325	207	429
326	208	428
327	208	427
328	209	426
329	209	426
330	210	425
331	211	424
332	211	423
333	212	423
334	212	422
335	213	421
336	213	420
337	214	419
338	214	418
339	215	418
340	215	417
341	216	416
342	217	415
343	217	415
344	218	414
345	219	414
346	219	413
347	220	413
348	220	412
349	221	411
350	221	410
351	222	409
352	222	408
353	223	407
354	223	406
355	224	405
356	224	404
357	225	404
358	225	403
359	226	402
360	226	401
361	227	400
362	227	399
363	228	399
