iter	Passed	Remaining
0	79	79620
1	101	50687
2	122	40814
3	143	35721
4	164	32643
5	185	30784
6	209	29756
7	232	28843
8	253	27963
9	274	27218
10	295	26583
11	316	26080
12	337	25604
13	357	25185
14	378	24859
15	401	24701
16	425	24595
17	448	24441
18	468	24214
19	490	24013
20	510	23817
21	531	23641
22	552	23461
23	572	23301
24	593	23158
25	616	23088
26	639	23038
27	662	22991
28	683	22887
29	704	22779
30	725	22688
31	747	22598
32	767	22502
33	788	22406
34	809	22332
35	832	22295
36	855	22272
37	878	22239
38	899	22158
39	921	22124
40	946	22143
41	973	22206
42	1000	22269
43	1023	22235
44	1047	22225
45	1070	22199
46	1094	22187
47	1115	22129
48	1137	22069
49	1157	21999
50	1178	21936
51	1200	21878
52	1220	21814
53	1242	21771
54	1266	21768
55	1293	21798
56	1317	21802
57	1342	21803
58	1367	21803
59	1392	21814
60	1417	21812
61	1442	21825
62	1466	21807
63	1492	21828
64	1516	21820
65	1541	21818
66	1565	21795
67	1590	21795
68	1614	21786
69	1638	21762
70	1662	21756
71	1688	21765
72	1715	21782
73	1739	21769
74	1764	21761
75	1790	21765
76	1813	21738
77	1838	21734
78	1862	21712
79	1887	21703
80	1911	21687
81	1938	21704
82	1964	21707
83	1989	21700
84	2013	21675
85	2038	21661
86	2060	21623
87	2084	21600
88	2106	21566
89	2128	21525
90	2152	21503
91	2176	21484
92	2199	21453
93	2221	21415
94	2243	21368
95	2264	21325
96	2285	21276
97	2306	21231
98	2327	21180
99	2347	21130
100	2370	21102
101	2394	21084
102	2417	21055
103	2439	21019
104	2460	20975
105	2481	20931
106	2502	20889
107	2523	20844
108	2544	20801
109	2565	20759
110	2589	20738
111	2612	20715
112	2637	20701
113	2659	20670
114	2683	20650
115	2705	20616
116	2726	20573
117	2746	20530
118	2767	20489
119	2788	20447
120	2811	20427
121	2835	20407
122	2858	20378
123	2879	20339
124	2899	20297
125	2920	20256
126	2940	20215
127	2961	20173
128	2982	20137
129	3003	20098
130	3025	20072
131	3050	20056
132	3072	20027
133	3093	19991
134	3114	19954
135	3135	19917
136	3156	19884
137	3177	19849
138	3199	19819
139	3220	19784
140	3243	19762
141	3267	19744
142	3289	19716
143	3311	19684
144	3332	19653
145	3354	19622
146	3375	19587
147	3396	19554
148	3417	19517
149	3438	19485
150	3462	19466
151	3486	19449
152	3508	19422
153	3529	19391
154	3551	19359
155	3572	19328
156	3593	19297
157	3615	19268
158	3637	19239
159	3660	19215
160	3684	19202
161	3710	19193
162	3733	19168
163	3755	19145
164	3778	19119
165	3799	19088
166	3821	19060
167	3843	19034
168	3866	19010
169	3888	18983
170	3912	18969
171	3936	18948
172	3957	18918
173	3978	18885
174	3999	18852
175	4020	18821
176	4041	18790
177	4062	18760
178	4083	18729
179	4108	18714
180	4130	18691
181	4152	18664
182	4174	18637
183	4196	18611
184	4217	18581
185	4239	18552
186	4264	18542
187	4287	18516
188	4310	18496
189	4333	18475
190	4354	18445
191	4375	18415
192	4397	18386
193	4418	18356
194	4439	18325
195	4459	18295
196	4480	18264
197	4502	18235
198	4524	18212
199	4546	18187
200	4568	18162
201	4589	18131
202	4611	18103
203	4632	18074
204	4652	18042
205	4673	18012
206	4694	17982
207	4714	17951
208	4736	17927
209	4759	17906
210	4781	17879
211	4803	17854
212	4824	17827
213	4845	17797
214	4866	17767
215	4887	17739
216	4908	17711
217	4929	17681
218	4951	17658
219	4973	17634
220	4994	17606
221	5016	17578
222	5037	17551
223	5058	17522
224	5079	17495
225	5100	17467
226	5121	17440
227	5142	17411
228	5164	17388
229	5187	17367
230	5209	17341
231	5230	17314
232	5251	17287
233	5272	17259
234	5293	17231
235	5314	17204
236	5336	17179
237	5357	17152
238	5380	17132
239	5403	17110
240	5424	17084
241	5445	17058
242	5467	17030
243	5487	17003
