iter	RMSE
0	14.7178963
1	14.26417889
2	13.83084028
3	13.39309103
4	13.01318633
5	12.60109348
6	12.21630968
7	11.86033803
8	11.5116952
9	11.16409532
10	10.83281893
11	10.51633647
12	10.22796719
13	9.951562953
14	9.688144104
15	9.417576536
16	9.161580883
17	8.929042915
18	8.694509265
19	8.468411354
20	8.245921842
21	8.040989121
22	7.843733651
23	7.665004506
24	7.479331784
25	7.304689753
26	7.149287936
27	6.996517336
28	6.855707102
29	6.711939144
30	6.565097982
31	6.437922986
32	6.320336103
33	6.202283566
34	6.083006752
35	5.973303977
36	5.88290805
37	5.784794955
38	5.694903319
39	5.600771217
40	5.525152458
41	5.451618315
42	5.381275887
43	5.309506178
44	5.237151762
45	5.170763934
46	5.11258009
47	5.053317009
48	4.99978034
49	4.948430727
50	4.896439012
51	4.844184492
52	4.79508041
53	4.75470855
54	4.711003567
55	4.673384053
56	4.635332751
57	4.604085736
58	4.571571704
59	4.536555584
60	4.505451996
61	4.472936101
62	4.442819181
63	4.412965531
64	4.388129682
65	4.363474192
66	4.341745564
67	4.317328856
68	4.301069184
69	4.280613231
70	4.26285034
71	4.242631003
72	4.224799743
73	4.204208923
74	4.188504378
75	4.172540282
76	4.157403965
77	4.142380242
78	4.131279773
79	4.116638251
80	4.104685501
81	4.092227848
82	4.081260476
83	4.068495103
84	4.056602422
85	4.045532267
86	4.036755925
87	4.02952256
88	4.021326172
89	4.011039504
90	4.003067231
91	3.994857776
92	3.987675277
93	3.980269275
94	3.972123116
95	3.966075828
96	3.960892748
97	3.954683199
98	3.947506183
99	3.942390677
100	3.937392581
101	3.933559154
102	3.928018109
103	3.923135702
104	3.918257207
105	3.914962128
106	3.910528947
107	3.905785684
108	3.899457155
109	3.894795657
110	3.890543129
111	3.886525379
112	3.882442076
113	3.87694481
114	3.872816212
115	3.868723682
116	3.865065759
117	3.86336482
118	3.861166578
119	3.857221624
120	3.853217736
121	3.850066559
122	3.846252898
123	3.843306959
124	3.840022524
125	3.836624942
126	3.832230842
127	3.829457594
128	3.827786278
129	3.825394311
130	3.822496472
131	3.820173314
132	3.819400372
133	3.816996531
134	3.814609189
135	3.811905054
136	3.810353058
137	3.808898079
138	3.806000022
139	3.804091186
140	3.802143231
141	3.801096373
142	3.799339954
143	3.798960759
144	3.796665558
145	3.794545774
146	3.793196927
147	3.791900801
148	3.791526642
149	3.788075534
150	3.785794253
151	3.785546881
152	3.783021157
153	3.781235034
154	3.779557952
155	3.777114408
156	3.776211602
157	3.773969421
158	3.772781715
159	3.771588257
160	3.769689396
161	3.767964967
162	3.766181266
163	3.764551235
164	3.763047003
165	3.762181317
166	3.76014782
167	3.759563142
168	3.757911233
169	3.756213003
170	3.753899966
171	3.75240285
172	3.751616515
173	3.75034603
174	3.749724428
175	3.747546101
176	3.746967062
177	3.745014925
178	3.743363591
179	3.739964445
180	3.738209897
181	3.736659824
182	3.734854175
183	3.731789546
184	3.730158798
185	3.728881668
186	3.727137138
187	3.725741083
188	3.725583444
189	3.725025057
190	3.724792061
191	3.720486453
192	3.719139338
193	3.717897995
194	3.716879973
195	3.715115767
196	3.714319871
197	3.712451516
198	3.711664758
199	3.709689691
200	3.709364806
201	3.707631659
202	3.706264362
203	3.704710978
204	3.703365479
205	3.701269487
206	3.701149748
207	3.698245174
208	3.6953666
209	3.693903916
210	3.69336082
211	3.692625111
212	3.691700167
213	3.689686762
214	3.687619759
215	3.684243534
216	3.683775208
217	3.682434746
218	3.680169253
219	3.678929647
220	3.678506496
221	3.677307879
222	3.676801526
223	3.676328426
224	3.675818285
225	3.672402925
226	3.670654909
227	3.670472552
228	3.670043919
229	3.668496905
230	3.666517416
231	3.664756659
232	3.663276504
233	3.661254886
234	3.660871931
235	3.659751936
236	3.658820285
237	3.657778095
238	3.657616157
239	3.656544569
240	3.65487697
241	3.654503903
242	3.653155143
243	3.651801675
244	3.650695418
245	3.649720647
246	3.648688334
247	3.647244916
248	3.645797972
249	3.643730382
250	3.642201322
251	3.639976781
252	3.639363827
253	3.638995784
254	3.637008815
255	3.635305248
256	3.634451945
257	3.633217537
258	3.632496344
259	3.631920834
260	3.629112008
261	3.628945319
262	3.628866265
263	3.628630482
264	3.627850458
265	3.626827122
266	3.625757149
267	3.6252949
268	3.62463494
269	3.623018394
270	3.619986377
271	3.619697668
272	3.617236545
273	3.616321352
274	3.616177512
275	3.614727213
276	3.61413179
277	3.613725903
278	3.613328796
279	3.612814026
280	3.612004778
281	3.611811225
282	3.611174233
283	3.610191618
284	3.606467689
285	3.602921439
286	3.601852806
287	3.600727936
288	3.597877818
289	3.596376782
290	3.595580323
291	3.595443292
292	3.594042398
293	3.591032387
294	3.588664479
295	3.586399743
296	3.586051647
297	3.585433484
298	3.583030616
299	3.58139482
300	3.581037403
301	3.577886033
302	3.576569691
303	3.573323405
304	3.572156711
305	3.569766717
306	3.567991951
307	3.56417136
308	3.563636947
309	3.563559752
310	3.561934022
311	3.559225176
312	3.557509489
313	3.554328908
314	3.551750807
315	3.548852702
316	3.548366749
317	3.547461322
318	3.545094318
319	3.544238168
320	3.542258634
321	3.541993016
322	3.541869017
323	3.53860401
324	3.535938724
325	3.534378441
326	3.533939183
327	3.532832073
328	3.53179611
329	3.53034327
330	3.527198282
331	3.525889263
332	3.522750368
333	3.520795973
334	3.518513822
335	3.517403599
336	3.515927772
337	3.515638586
338	3.514647885
339	3.513206447
340	3.512324375
341	3.511578136
342	3.51038327
343	3.510240842
344	3.508202855
345	3.507432776
346	3.505521001
347	3.504346569
348	3.503144484
349	3.502098949
