iter	Passed	Remaining
0	1	1263
1	2	1153
2	3	1123
3	4	1076
4	5	1037
5	6	1006
6	7	1007
7	7	978
8	8	967
9	9	955
10	10	953
11	11	948
12	12	941
13	13	939
14	14	944
15	15	950
16	16	950
17	17	945
18	18	945
19	19	941
20	20	942
21	21	938
22	22	939
23	23	938
24	24	936
25	25	940
26	26	939
27	26	936
28	27	935
29	28	933
30	29	931
31	30	930
32	31	930
33	32	927
34	33	928
35	34	927
36	35	923
37	36	921
38	37	920
39	38	918
40	39	920
41	40	912
42	40	903
43	41	902
44	42	900
45	43	898
46	44	897
47	45	897
48	46	895
49	47	894
50	48	893
51	49	893
52	49	893
53	50	892
54	51	890
55	52	886
56	53	887
57	54	885
58	55	881
59	55	876
60	56	875
61	57	873
62	58	872
63	59	872
64	60	872
65	61	869
66	62	867
67	63	866
68	64	866
69	65	866
70	66	865
71	67	863
72	67	861
73	68	861
74	69	860
75	70	859
76	71	857
77	72	856
78	73	852
79	74	851
80	75	851
81	75	850
82	76	850
83	77	849
84	78	848
85	79	847
86	80	847
87	81	847
88	82	847
89	83	847
90	84	844
91	85	843
92	86	841
93	87	840
94	88	839
95	89	838
96	89	836
97	90	835
98	91	834
99	92	833
100	93	832
101	94	829
102	95	829
103	96	827
104	97	827
105	97	824
106	98	824
107	99	823
108	100	822
109	101	821
110	102	820
111	103	819
112	104	818
113	105	818
114	106	818
115	107	817
116	108	816
117	108	813
118	109	812
119	110	811
120	111	810
121	112	810
122	113	810
123	114	809
124	115	809
125	116	808
126	117	807
127	118	806
128	119	804
129	120	803
130	121	802
131	122	802
132	122	800
133	123	799
134	124	798
135	125	797
136	126	796
137	127	795
138	128	794
139	129	794
140	130	793
141	130	791
142	131	790
143	132	786
144	133	786
145	134	785
146	135	784
147	136	783
148	136	780
149	137	779
150	138	778
151	138	775
152	139	774
153	140	773
154	141	773
155	142	772
156	143	771
157	144	770
158	145	770
159	146	768
160	147	767
161	148	767
162	149	766
163	150	765
164	151	764
165	151	763
166	152	762
167	153	760
168	154	759
169	155	758
170	156	757
171	157	756
172	157	754
173	158	753
174	159	751
175	160	750
176	160	747
177	161	745
178	162	744
179	162	742
180	163	740
181	164	738
182	165	736
183	165	734
184	166	732
185	166	730
186	167	728
187	168	726
188	169	728
189	170	728
190	171	726
191	172	724
192	173	723
193	173	722
194	174	721
195	175	720
196	176	718
197	177	717
198	177	716
199	178	714
200	179	712
201	180	711
202	181	710
203	181	709
204	182	708
205	183	707
206	184	705
207	184	704
208	185	703
209	186	702
210	187	701
211	188	700
212	189	699
213	190	698
214	191	697
215	191	696
216	192	696
217	193	694
218	194	693
219	195	692
220	196	691
221	197	690
222	198	690
223	198	688
224	199	687
225	200	686
226	201	685
227	202	684
228	203	683
229	203	682
230	204	681
231	205	680
232	206	680
233	207	678
234	208	677
235	209	677
236	210	677
237	211	676
238	211	674
239	212	673
240	213	672
241	214	671
242	215	670
243	215	669
244	216	668
245	217	667
246	218	666
247	219	664
248	220	664
249	221	663
250	221	662
251	223	661
252	224	661
253	225	661
254	226	660
255	227	660
256	228	659
257	229	658
258	229	657
259	230	656
260	231	656
261	232	655
262	233	653
263	234	654
264	236	655
265	238	658
266	240	659
267	241	659
268	244	663
269	245	663
270	246	664
271	247	663
272	249	663
273	250	663
274	251	663
275	252	662
276	253	660
277	254	659
278	254	658
279	256	659
280	258	661
281	260	663
282	261	663
283	262	661
284	263	660
285	264	659
286	265	658
287	266	657
