iter	RMSE
0	1.410855488
1	1.394224939
2	1.378308409
3	1.366600151
4	1.353657993
5	1.339981769
6	1.324557096
7	1.314587926
8	1.303700608
9	1.297311416
10	1.287878271
11	1.274566847
12	1.265495295
13	1.253104236
14	1.244120323
15	1.23223459
16	1.222705019
17	1.213646133
18	1.205844423
19	1.19657326
20	1.189799688
21	1.183129459
22	1.174341939
23	1.166203646
24	1.157996848
25	1.149711587
26	1.140964284
27	1.134077965
28	1.12782009
29	1.120882125
30	1.113010515
31	1.104819074
32	1.097922539
33	1.091644717
34	1.084660237
35	1.078572939
36	1.073132851
37	1.066982405
38	1.059430443
39	1.053149617
40	1.046917652
41	1.041468135
42	1.037127736
43	1.031813437
44	1.026110665
45	1.023012828
46	1.019981124
47	1.014106908
48	1.009396549
49	1.005057236
50	1.001357014
51	0.9954465084
52	0.9914949926
53	0.9885173609
54	0.9848230465
55	0.9792484193
56	0.9749395724
57	0.9726182495
58	0.9677784864
59	0.966180476
60	0.9624147568
61	0.9600800177
62	0.9557403704
63	0.9520912759
64	0.9491102182
65	0.9461810978
66	0.9443510986
67	0.9413079628
68	0.9371793138
69	0.9342082678
70	0.9324149377
71	0.9305449088
72	0.9279444318
73	0.9247330094
74	0.9234366822
75	0.9211465834
76	0.9164424054
77	0.9139462417
78	0.9112625958
79	0.9077786897
80	0.9052040801
81	0.9026890824
82	0.8998155293
83	0.8979083974
84	0.8942430443
85	0.8922151989
86	0.8892370118
87	0.8854353144
88	0.88369258
89	0.8813834304
90	0.8792386937
91	0.8786611597
92	0.8772903524
93	0.8744350986
94	0.8721069485
95	0.8702239871
96	0.8690542665
97	0.8647540443
98	0.8612809918
99	0.8581322461
100	0.85474136
101	0.8523054083
102	0.8504584803
103	0.8479897061
104	0.845919746
105	0.8446310131
106	0.841643623
107	0.8386994357
108	0.8373278977
109	0.8345473282
110	0.8330089775
111	0.831781165
112	0.8299578673
113	0.8287913373
114	0.8279301587
115	0.8249269875
116	0.8234799701
117	0.8225817445
118	0.8199423452
119	0.8183068405
120	0.8168444122
121	0.8146658391
122	0.8134319974
123	0.8110464972
124	0.8088099238
125	0.8073546774
126	0.8044876286
127	0.8039868331
128	0.8012686498
129	0.8006613489
130	0.7995586632
131	0.7976777567
132	0.7947438386
133	0.7941533017
134	0.7926460333
135	0.7908361748
136	0.7882263515
137	0.7860403413
138	0.7840092142
139	0.7820693075
140	0.7814751311
141	0.7799062021
142	0.7790779709
143	0.7781553723
144	0.7753352147
145	0.7733408282
146	0.7722089262
147	0.7699830944
148	0.7683686991
149	0.7670010512
150	0.7645861474
151	0.7621333436
152	0.7610385402
153	0.7598640209
154	0.7595867321
155	0.75773812
156	0.7563269751
157	0.755282561
158	0.7548395843
159	0.7530364241
160	0.7522448377
161	0.7517190323
162	0.7509139467
163	0.7503535168
164	0.748935326
165	0.7479789134
166	0.747524944
167	0.7464475592
168	0.745489601
169	0.7444743092
170	0.7438493987
171	0.7433405072
172	0.7420988635
173	0.7411993761
174	0.7390155725
175	0.736966014
176	0.7363674243
177	0.7348735521
178	0.7328853156
179	0.732011738
180	0.7313568335
181	0.7310388011
182	0.7294859299
183	0.7290202055
184	0.7277519519
185	0.7262312617
186	0.7257574177
187	0.7247472673
188	0.7240502859
189	0.7221927733
190	0.7216291909
191	0.720599764
192	0.7189888369
193	0.7178475633
194	0.7166906915
195	0.7155983742
196	0.7137055384
197	0.7132830839
198	0.7124918139
199	0.7116220614
200	0.7111543784
201	0.7103599518
202	0.7098842145
203	0.7086653545
204	0.7082458431
205	0.7080083712
206	0.7072324987
207	0.7065714459
208	0.706008233
209	0.7039624583
210	0.7036170529
211	0.701244432
212	0.6988166865
213	0.6973668869
214	0.6970361234
215	0.6960663591
216	0.6957243538
217	0.6941047591
218	0.6932325933
219	0.6918182994
220	0.6913467072
221	0.6898067324
222	0.688911186
223	0.6870849492
224	0.6857996115
225	0.6845974966
226	0.6841560561
227	0.6823730674
228	0.6816787795
229	0.6813843041
230	0.6809356846
231	0.6788628963
232	0.6784962004
233	0.6781707421
234	0.6777003904
235	0.676149135
236	0.6756042447
237	0.6744188018
238	0.6739344816
239	0.6735654942
240	0.6724422257
241	0.6716520927
242	0.6713583856
243	0.6705387273
244	0.6695270977
245	0.6691037795
246	0.6685761691
247	0.668348716
248	0.6675775832
249	0.6671738295
250	0.6667548884
251	0.6663545386
252	0.6657106525
253	0.6650485383
254	0.6646113562
255	0.6638323768
256	0.6631970364
257	0.6625919553
258	0.6623884109
259	0.6619287547
260	0.661564579
261	0.6612479518
262	0.660680237
263	0.6596096413
264	0.6592458117
265	0.6589542339
