iter	Passed	Remaining
0	0	464
1	0	413
2	1	390
3	1	380
4	1	376
5	2	360
6	2	363
7	2	365
8	3	348
9	3	335
10	3	338
11	4	341
12	4	343
13	4	345
14	5	346
15	5	347
16	6	348
17	6	349
18	6	353
19	7	354
20	7	355
21	8	356
22	8	356
23	8	356
24	9	356
25	9	356
26	9	357
27	10	356
28	10	357
29	11	357
30	11	357
31	11	357
32	12	357
33	12	357
34	12	357
35	13	357
36	13	357
37	14	356
38	14	356
39	14	356
40	15	356
41	15	356
42	16	356
43	16	356
44	16	355
45	16	352
46	17	349
47	17	349
48	18	349
49	18	349
50	18	346
51	18	346
52	19	346
53	19	343
54	19	343
55	20	343
56	20	342
57	21	341
58	21	341
59	21	340
60	22	340
61	22	338
62	22	338
63	23	338
64	23	338
65	23	337
66	24	334
67	24	334
68	24	334
69	25	334
70	25	332
71	25	331
72	26	331
73	26	331
74	26	328
75	26	326
76	27	326
77	27	326
78	27	326
79	28	326
80	28	325
81	29	325
82	29	325
83	29	324
84	30	324
85	30	324
86	30	324
87	31	324
88	31	324
89	32	324
90	32	324
91	32	322
92	33	322
93	33	322
94	33	321
95	34	321
96	34	321
97	34	321
98	35	321
99	35	321
100	36	321
101	36	320
102	36	320
103	37	320
104	37	320
105	37	320
106	38	319
107	38	319
108	38	318
109	39	318
110	39	318
111	40	317
112	40	317
113	40	317
114	41	315
115	41	315
116	41	315
117	42	315
118	42	314
119	42	314
120	43	314
121	43	314
122	44	313
123	44	313
124	44	313
125	45	313
126	45	312
127	45	312
128	46	312
129	46	311
130	46	311
131	47	311
132	47	310
133	47	309
134	48	309
135	48	309
136	49	308
137	49	308
138	49	308
139	50	308
140	50	307
141	50	307
142	51	306
143	51	306
144	51	306
145	52	306
146	52	305
147	53	305
148	53	305
149	53	305
150	54	304
151	54	304
152	54	304
153	55	304
154	55	302
155	55	302
156	56	302
157	56	301
158	56	300
159	57	300
160	57	300
161	58	300
162	58	300
163	58	298
164	59	298
165	59	298
166	59	298
167	60	297
168	60	297
169	60	297
170	61	297
171	61	296
172	62	296
173	62	296
174	62	295
175	63	295
176	63	295
177	63	295
178	64	294
179	64	294
180	65	294
181	65	293
182	65	292
183	65	292
184	66	292
185	66	291
186	67	291
187	67	291
188	67	291
189	68	290
190	68	290
191	68	290
192	69	290
193	69	289
194	70	289
195	70	289
196	70	288
197	71	288
198	71	288
199	72	288
200	72	287
201	72	287
202	73	287
203	73	286
204	73	286
205	74	285
206	74	285
207	74	285
208	75	285
209	75	284
210	76	284
211	76	284
212	76	283
213	77	283
214	77	283
215	77	283
216	78	282
217	78	282
218	79	281
219	79	281
220	79	281
221	80	281
222	80	280
223	80	280
224	81	280
225	81	279
226	82	279
227	82	279
228	82	278
229	83	278
230	83	278
231	83	277
232	84	277
233	84	277
234	85	276
235	85	276
236	85	276
237	86	275
238	86	275
239	86	275
240	87	274
241	87	274
242	88	274
243	88	273
244	88	273
245	89	273
246	89	272
247	89	272
248	90	272
249	90	271
250	90	271
251	91	271
252	91	270
253	92	270
254	92	270
255	92	269
256	93	269
257	93	269
258	93	268
259	94	268
260	94	267
261	95	267
262	95	267
263	95	267
264	96	266
265	96	266
266	96	266
267	97	265
268	97	265
269	98	265
270	98	264
271	98	264
272	99	264
273	99	263
274	99	263
275	100	263
276	100	262
277	101	262
278	101	262
279	101	261
280	102	261
281	102	261
282	102	260
283	103	260
284	103	260
285	104	259
286	104	259
287	104	259
288	105	258
289	105	258
290	105	257
291	106	257
292	106	257
293	107	256
294	107	256
295	107	256
296	108	255
297	108	255
298	108	255
299	109	254
300	109	254
301	110	254
302	110	253
303	110	253
304	111	253
305	111	252
306	111	252
307	112	252
308	112	251
309	113	251
310	113	251
311	113	250
312	114	250
313	114	250
314	114	249
315	115	249
316	115	249
317	116	248
318	116	248
319	116	248
320	117	247
321	117	247
322	117	247
323	118	246
324	118	246
325	119	246
326	119	245
327	119	245
328	120	245
329	120	244
330	120	244
331	121	244
332	121	243
333	122	243
334	122	243
335	122	242
336	123	242
337	123	242
338	123	241
339	124	241
340	124	241
341	125	240
342	125	240
343	125	240
344	126	239
345	126	239
346	126	238
347	127	238
348	127	238
349	128	237
350	128	237
351	128	237
352	129	236
353	129	236
354	129	236
355	130	235
356	130	235
357	131	235
358	131	234
359	131	234
360	132	233
361	132	233
362	132	233
363	133	232
364	133	232
365	134	232
366	134	231
367	134	231
368	135	231
369	135	230
370	135	230
371	136	230
372	136	229
373	137	229
374	137	228
375	137	228
376	138	228
377	138	227
378	138	227
379	139	227
380	139	226
381	140	226
382	140	226
383	140	225
384	141	225
385	141	225
386	141	224
387	142	224
388	142	224
389	143	223
390	143	223
391	143	222
392	144	222
393	144	222
394	144	221
395	145	221
